	Room	Start	End
0	4	1402913994.694	1402913998.109
1	3	1402913998.795	1402914021.902
2	4	1402914022.294	1402914027.15
3	1	1402914027.644	1402914030.682
4	2	1402914031.107	1402914054.131
5	3	1402914054.679	1402914074.044
6	4	1402914074.434	1402914097.703
7	1	1402914098.129	1402914109.282
8	2	1402914109.845	1402914177.403
9	3	1402914177.987	1402914181.189
10	4	1402914181.619	1402914188.041
11	1	1402914192.544	1402914234.666
12	4	1402914235.69	1402914246.583
13	1	1402914247.894	1402914259.345
14	1	1402914295.115	1402914327.409
15	4	1402914328.505	1402914331.49
16	3	1402914332.409	1402914337.176
17	3	1402914337.176	1402914343.677
18	2	1402914345.387	1402914380.434
19	2	1402914380.434	1402914383.275
20	1	1402914384.517	1402914395.54
21	2	1402914396.055	1402914408.116
22	1	1402914408.576	1402914415.678
23	4	1402914416.065	1402914426.91
24	1	1402914427.31	1402914430.894
25	2	1402914431.262	1402914434.139
26	3	1402914434.784	1402914483.641
27	1	1402914487.242	1402914490.774
28	2	1402914494.92	1402914521.82
29	3	1402914523.204	1402914529.152
30	4	1402914529.552	1402914537.458
31	1	1402914537.818	1402914555.488
32	4	1402914555.986	1402914638.005
33	1	1402914642.129	1402914650.34
34	2	1402914650.928	1402914679.266
35	1	1402914679.99	1402914689.403
36	4	1402914689.805	1402914749.971
37	1	1402914750.515	1402914755.228
38	4	1402914756.904	1402914759.308
39	3	1402914761.376	1402914809.093
40	4	1402914809.658	1402914813.034
41	1	1402914813.522	1402914830.234
42	4	1402914831.45	1402914887.847
43	1	1402914890.051	1402914937.371
44	4	1402914937.826	1402914961.765
45	3	1402914962.295	1402914968.878
46	4	1402914970.023	1402915008.904
47	1	1402915010.511	1402915013.667
48	2	1402915014.151	1402915019.607
49	3	1402915020.323	1402915045.024
50	4	1402915045.324	1402915078.097
51	1	1402915079.738	1402915111.003
52	4	1402915111.703	1402915121.25
53	3	1402915121.65	1402915125.261
54	2	1402915125.914	1402915194.5
55	1	1402915202.247	1402915241.544
56	4	1402915242.01	1402915267.581
57	1	1402915268.015	1402915273.814
58	4	1402915274.274	1402915281.519
59	3	1402915281.914	1402915287.997
60	2	1402915289.202	1402915293.03
61	1	1402915293.518	1402915295.959
62	4	1402915297.69	1402915319.891
63	1	1402915321.201	1402915327.562
64	2	1402915328.317	1402915340.904
65	1	1402915341.556	1402915351.204
66	4	1402915351.63	1402915371.517
67	3	1402915372.458	1402915392.497
68	4	1402915392.89	1402915395.538
69	1	1402915395.84	1402915411.786
70	2	1402915412.374	1402915506.511
71	2	1402915506.511	1402915522.597
72	1	1402915523.09	1402915529.243
73	4	1402915529.626	1402915537.697
74	3	1402915538.124	1402915540.514
75	3	1402915540.514	1402915549.827
76	3	1402915549.827	1402915551.952
77	3	1402915552.383	1402915556.981
78	4	1402915557.505	1402915568.761
79	4	1402915569.181	1402915577.36
80	2	1402915578.814	1402915626.241
81	3	1402915628.247	1402915641.515
82	4	1402915641.515	1402915647.331
83	2	1402915649.191	1402915758.57
84	3	1402915759.384	1402915781.102
85	4	1402915781.573	1402915789.392
86	1	1402915790.009	1402915794.189
87	2	1402915794.715	1402915798.09
88	3	1402915798.617	1402915813.67
89	4	1402915814.511	1402915817.918
90	1	1402915821.337	1402915860.266
91	2	1402915860.266	1402915937.241
92	3	1402915938.256	1402915952.154
93	2	1402915952.783	1402915961.682
94	3	1402915964.374	1402915967.222
95	4	1402915967.72	1402916042.364
96	1	1402916043.198	1402916047.72
97	1	1402916047.72	1402916053.541
98	1	1402916057.535	1402916081.176
99	1	1402916081.671	1402916088.205
100	4	1402916090.872	1402916096.712
101	3	1402916097.238	1402916105.562
102	3	1402916171.381	1402916175.454
103	3	1402916175.454	1402916311.304
104	2	1402916311.916	1402916318.173
105	1	1402916318.901	1402916323.918
106	4	1402916326.103	1402916329.089
107	3	1402916329.524	1402916334.292
108	2	1402916334.711	1402916338.816
109	2	1402916339.998	1402916464.47
110	3	1402916464.935	1402916476.078
111	4	1402916476.546	1402916479.074
112	1	1402916482.844	1402916497.876
113	2	1402916497.876	1402916516.338
114	3	1402916517.125	1402916520.918
115	4	1402916521.369	1402916533.027
116	1	1402916536.11	1402916549.733
117	2	1402916550.232	1402916575.025
118	1	1402916575.582	1402916583.38
119	4	1402916583.774	1402916595.434
120	1	1402916598.254	1402916612.857
121	4	1402916613.195	1402916672.613
122	2	1402916674.659	1402916690.68
123	3	1402916695.277	1402916723.752
124	3	1402916756.957	1402916778.404
125	4	1402916778.923	1402916781.319
126	4	1402916782.836	1402916792.148
127	4	1402916903.329	1402916915.028
128	1	1402916915.415	1402916918.078
129	2	1402916918.676	1402917022.257
130	3	1402917023.578	1402917032.838
131	4	1402917032.838	1402917041.691
132	1	1402917042.669	1402917051.7
133	2	1402917052.251	1402917126.202
134	3	1402917126.728	1402917169.62
135	2	1402917170.068	1402917173.577
136	1	1402917175.626	1402917186.039
137	4	1402917186.562	1402917196.968
138	3	1402917197.417	1402917201.09
139	2	1402917201.41	1402917224.508
140	3	1402917225.132	1402917229.366
141	3	1402917229.366	1402917231.666
142	3	1402917231.985	1402917234.094
143	4	1402917236.329	1402917238.985
144	1	1402917239.303	1402917259.372
145	2	1402917260.013	1402917264.119
146	2	1402917264.119	1402917298.388
147	3	1402917299.272	1402917302.919
148	4	1402917303.341	1402917311.467
149	1	1402917311.821	1402917318.226
150	2	1402917318.592	1402917325.289
151	3	1402917325.775	1402917354.774
152	4	1402917357.19	1402917372.109
153	3	1402917372.769	1402917374.878
154	3	1402917374.878	1402917378.54
155	2	1402917379.042	1402917436.341
156	3	1402917438.286	1402917443.669
157	3	1402917443.669	1402917450.0
158	4	1402917450.686	1402917453.831
159	1	1402917455.573	1402917515.406
160	4	1402917515.772	1402917519.439
161	3	1402917519.897	1402917614.467
162	4	1402917614.917	1402917649.334
163	1	1402917650.085	1402917658.481
164	2	1402917660.454	1402917702.217
165	3	1402917702.832	1402917732.32
166	4	1402917733.367	1402917735.762
167	1	1402917736.116	1402917739.694
168	1	1402917739.694	1402917753.178
169	4	1402917753.668	1402917792.776
170	3	1402917793.236	1402917796.844
171	2	1402917798.973	1402917824.819
172	3	1402917825.182	1402917895.574
173	4	1402917895.985	1402917898.493
174	1	1402917898.882	1402917901.199
175	1	1402917902.524	1402917906.662
176	4	1402917907.086	1402917922.356
177	1	1402917922.687	1402917932.166
178	2	1402917932.593	1402917962.949
179	3	1402917963.446	1402917994.156
180	4	1402917994.69	1402917997.645
181	4	1402917999.386	1402918039.647
182	1	1402918041.657	1402918074.473
183	4	1402918075.218	1402918081.622
184	3	1402918082.477	1402918086.149
185	2	1402918086.446	1402918140.751
186	1	1402918141.437	1402918143.643
187	1	1402918143.643	1402918159.842
188	2	1402918164.074	1402918202.612
189	3	1402918203.328	1402918278.249
190	2	1402918278.937	1402918412.649
191	1	1402918413.304	1402918418.624
192	2	1402918419.038	1402918421.252
193	3	1402918421.611	1402918424.885
194	4	1402918428.952	1402918435.096
195	1	1402918435.484	1402918446.469
196	2	1402918448.081	1402918468.568
197	3	1402918470.99	1402918489.045
198	4	1402918489.478	1402918491.927
199	1	1402918492.345	1402918499.396
200	4	1402918509.846	1402918565.434
201	1	1402918568.726	1402918606.911
202	1	1402918606.911	1402918619.293
203	4	1402918623.924	1402918636.57
204	3	1402918637.326	1402918670.95
205	2	1402918674.925	1402918714.221
206	3	1402918714.688	1402918900.552
207	4	1402918901.151	1402918903.572
208	1	1402918904.226	1402918915.301
209	2	1402918915.728	1402918918.156
210	2	1402918918.379	1402918925.2
211	4	1402918927.212	1402919029.089
212	3	1402919029.688	1402919107.145
213	4	1402919107.618	1402919110.594
214	1	1402919110.958	1402919120.975
215	4	1402919121.392	1402919144.998
216	3	1402919145.401	1402919152.832
217	2	1402919154.278	1402919161.132
218	3	1402919163.04	1402919350.668
219	4	1402919353.989	1402919358.605
220	4	1402919358.605	1402919364.222
221	1	1402919371.277	1402919454.215
222	2	1402919454.873	1402919492.573
223	1	1402919493.068	1402919500.314
224	4	1402919500.742	1402919548.595
225	1	1402919550.528	1402919554.777
226	1	1402919554.777	1402919557.301
227	1	1402919558.74	1402919561.376
228	1	1402919561.839	1402919569.939
229	4	1402919570.318	1402919585.089
230	4	1402919585.608	1402919593.873
231	1	1402919593.873	1402919621.558
232	4	1402919621.812	1402919657.435
233	3	1402919658.19	1402920793.119
234	2	1402920794.145	1402920808.81
235	3	1402920809.989	1402920813.713
236	4	1402920814.432	1402920821.461
237	3	1402920821.848	1402921084.852
238	2	1402921085.611	1402921137.305
239	3	1402921137.873	1402921159.653
240	4	1402921160.578	1402921186.441
241	3	1402921186.867	1402921201.168
242	4	1402921202.223	1402921206.116
243	1	1402921206.608	1402921209.755
244	3	1402921211.06	1402921455.136
245	2	1402921455.846	1402921541.868
246	3	1402921542.199	1402924524.759
247	2	1402924525.875	1402924533.382
248	3	1402924533.784	1402924726.648
249	2	1402924727.325	1402924920.358
250	3	1402924920.923	1402924947.953
