	Room	Start	End
0	1	1402913969.033	1402914009.621
1	4	1402914011.896	1402914032.23
2	3	1402914032.783	1402914054.501
3	4	1402914054.501	1402914081.155
4	1	1402914081.848	1402914084.728
5	2	1402914085.276	1402914114.205
6	1	1402914114.825	1402914145.69
7	2	1402914146.25	1402914157.257
8	1	1402914157.257	1402914162.787
9	4	1402914163.348	1402914165.885
10	3	1402914166.935	1402914172.444
11	2	1402914172.865	1402914187.926
12	1	1402914188.426	1402914204.054
13	4	1402914204.67	1402914208.377
14	4	1402914209.304	1402914230.197
15	3	1402914230.76	1402914237.972
16	2	1402914238.423	1402914297.638
17	1	1402914299.157	1402914303.797
18	4	1402914304.61	1402914310.771
19	3	1402914312.145	1402914341.996
20	4	1402914342.463	1402914348.903
21	1	1402914351.437	1402914368.557
22	2	1402914369.441	1402914381.885
23	1	1402914382.551	1402914416.333
24	4	1402914416.832	1402914458.857
25	1	1402914461.243	1402914465.029
26	1	1402914465.029	1402914475.421
27	2	1402914475.942	1402914484.552
28	1	1402914495.183	1402914497.404
29	2	1402914497.795	1402914501.868
30	2	1402914501.868	1402914504.136
31	2	1402914504.695	1402914511.693
32	3	1402914512.437	1402914536.455
33	4	1402914537.076	1402914636.024
34	1	1402914638.614	1402914646.921
35	2	1402914647.574	1402914702.349
36	1	1402914703.045	1402914721.549
37	4	1402914722.069	1402914752.743
38	3	1402914753.354	1402914770.437
39	4	1402914773.669	1402914778.18
40	1	1402914778.648	1402914855.046
41	4	1402914855.57	1402914857.869
42	3	1402914858.328	1402914871.771
43	2	1402914872.501	1402914912.5
44	3	1402914913.181	1402915038.344
45	4	1402915038.807	1402915050.817
46	4	1402915050.817	1402915055.577
47	1	1402915057.706	1402915062.506
48	1	1402915082.171	1402915085.399
49	1	1402915085.399	1402915121.531
50	4	1402915122.007	1402915134.156
51	3	1402915134.657	1402915165.183
52	2	1402915165.769	1402915282.908
53	3	1402915283.716	1402915331.929
54	2	1402915332.556	1402915339.419
55	1	1402915340.15	1402915343.191
56	4	1402915346.838	1402915370.015
57	1	1402915370.534	1402915390.316
58	2	1402915391.639	1402915479.018
59	1	1402915479.508	1402915481.616
60	1	1402915507.531	1402915509.861
61	2	1402915510.52	1402915536.594
62	2	1402915536.594	1402915546.003
63	2	1402915546.003	1402915601.141
64	1	1402915601.74	1402915609.204
65	4	1402915609.204	1402915660.348
66	1	1402915660.905	1402915700.11
67	4	1402915700.631	1402915711.366
68	3	1402915712.179	1402915785.95
69	2	1402915787.084	1402915889.458
70	1	1402915889.757	1402915894.214
71	2	1402915895.32	1402915904.905
72	1	1402915905.957	1402915909.828
73	4	1402915910.254	1402915926.244
74	1	1402915927.163	1402915981.921
75	2	1402915982.412	1402916022.186
76	1	1402916022.771	1402916027.926
77	4	1402916028.356	1402916034.172
78	3	1402916034.675	1402916073.036
79	2	1402916074.012	1402916090.098
80	3	1402916090.609	1402916093.596
81	3	1402916093.596	1402916159.4
82	2	1402916162.222	1402916173.573
83	1	1402916174.591	1402916181.359
84	4	1402916182.636	1402916214.282
85	3	1402916214.802	1402916272.837
86	2	1402916273.371	1402916409.819
87	1	1402916410.873	1402916420.234
88	4	1402916420.726	1402916426.291
89	3	1402916426.914	1402916494.041
90	2	1402916495.203	1402916554.402
91	1	1402916554.402	1402916559.641
92	4	1402916560.134	1402916568.877
93	4	1402916584.132	1402916589.445
94	1	1402916589.946	1402916616.196
95	4	1402916616.708	1402916621.975
96	3	1402916622.503	1402916656.762
97	2	1402916657.215	1402916672.962
98	1	1402916673.356	1402916694.848
99	1	1402916695.407	1402916701.142
100	4	1402916708.232	1402916710.294
101	4	1402916710.294	1402916807.068
102	3	1402916807.535	1402916828.01
103	2	1402916828.01	1402916832.992
104	3	1402916836.986	1402916870.464
105	4	1402916871.094	1402916883.628
106	1	1402916883.99	1402916900.861
107	4	1402916902.937	1402916978.455
108	1	1402916980.136	1402916989.681
109	2	1402916990.369	1402917020.756
110	3	1402917021.868	1402917027.676
111	4	1402917029.91	1402917117.225
112	3	1402917117.66	1402917140.738
113	2	1402917141.154	1402917144.349
114	2	1402917144.349	1402917181.586
115	3	1402917185.723	1402917192.096
116	4	1402917192.751	1402917240.21
117	3	1402917240.677	1402917296.207
118	4	1402917296.207	1402917305.59
119	1	1402917305.99	1402917309.583
120	2	1402917310.542	1402917395.384
121	3	1402917396.144	1402917500.785
122	4	1402917505.301	1402917517.625
123	1	1402917518.122	1402917553.762
124	4	1402917557.111	1402917566.42
125	3	1402917567.279	1402917983.832
126	4	1402917984.45	1402918009.186
127	1	1402918009.817	1402918044.972
128	2	1402918046.249	1402918171.789
129	1	1402918172.542	1402918181.578
130	4	1402918182.088	1402918186.318
131	3	1402918186.78	1402918246.529
132	4	1402918247.085	1402918257.401
133	1	1402918257.768	1402918262.193
134	1	1402918265.996	1402918268.959
135	2	1402918269.456	1402918296.996
136	4	1402918299.667	1402918302.021
137	3	1402918302.382	1402918335.445
138	4	1402918335.982	1402918361.128
139	1	1402918363.337	1402918378.396
140	2	1402918378.879	1402918443.121
141	3	1402918443.61	1402918497.93
142	4	1402918498.249	1402918517.756
143	1	1402918518.401	1402918559.667
144	4	1402918560.162	1402918592.018
145	4	1402918592.018	1402918595.947
146	3	1402918597.264	1402918606.904
147	2	1402918607.737	1402918616.986
148	2	1402918616.986	1402918714.684
149	3	1402918715.248	1402918718.569
150	4	1402918719.557	1402918723.068
151	1	1402918724.877	1402918739.575
152	4	1402918739.872	1402918744.492
153	3	1402918744.889	1402918749.961
154	2	1402918751.376	1402918824.203
155	3	1402918824.916	1402918885.605
156	2	1402918886.103	1402918892.924
157	3	1402918893.544	1402918904.26
158	4	1402918904.777	1402918917.86
159	3	1402918921.215	1402918934.015
160	4	1402918934.601	1402918959.494
161	1	1402918959.854	1402918963.531
162	2	1402918963.987	1402918977.084
163	1	1402918977.478	1402919018.408
164	4	1402919018.848	1402919093.663
165	1	1402919094.118	1402919096.69
166	1	1402919096.69	1402919101.29
167	2	1402919101.779	1402919107.371
168	2	1402919107.371	1402919111.077
169	2	1402919111.077	1402919120.429
170	3	1402919120.915	1402919123.535
171	3	1402919123.535	1402919154.541
172	2	1402919155.86	1402919158.727
173	1	1402919159.252	1402919195.23
174	2	1402919195.691	1402919199.31
175	3	1402919199.704	1402919210.681
176	4	1402919211.147	1402919263.61
177	1	1402919266.663	1402919270.848
178	2	1402919273.006	1402919300.53
179	1	1402919301.02	1402919303.855
180	4	1402919304.149	1402919307.184
181	3	1402919307.519	1402919415.091
182	2	1402919415.714	1402919435.601
183	3	1402919435.939	1402919444.502
184	3	1402919444.502	1402919450.54
185	3	1402919450.54	1402919517.266
186	2	1402919517.725	1402919522.891
187	4	1402919525.516	1402919561.543
188	3	1402919561.942	1402919565.569
189	4	1402919566.159	1402919614.21
190	3	1402919614.932	1402919627.764
191	4	1402919628.091	1402919630.917
192	1	1402919631.576	1402919660.794
193	4	1402919661.409	1402919680.672
194	1	1402919685.703	1402919736.939
195	2	1402919737.492	1402919770.15
196	3	1402919771.715	1402919775.342
197	4	1402919775.664	1402919792.529
198	4	1402919993.533	1402920001.161
199	1	1402920001.521	1402920006.34
200	2	1402920006.705	1402920099.697
201	3	1402920100.414	1402920353.695
202	4	1402920354.391	1402920357.953
203	4	1402920357.953	1402920436.866
204	3	1402920437.463	1402920446.559
205	2	1402920447.009	1402920459.319
206	1	1402920461.129	1402920466.317
207	4	1402920466.777	1402920468.847
208	3	1402920469.231	1402920520.351
209	4	1402920520.351	1402920672.009
210	1	1402920672.537	1402920689.04
211	4	1402920689.739	1402920701.23
212	3	1402920701.23	1402921040.521
213	4	1402921041.107	1402921052.749
214	1	1402921056.637	1402921065.291
215	2	1402921066.005	1402921174.061
216	3	1402921175.174	1402921223.961
217	4	1402921229.213	1402921242.135
218	1	1402921243.21	1402921246.76
219	2	1402921247.088	1402921262.99
220	3	1402921263.594	1402922079.564
221	4	1402922080.489	1402922097.432
222	3	1402922241.582	1402922362.713
223	4	1402922363.265	1402922376.22
224	3	1402922376.712	1402922750.323
225	4	1402922750.943	1402922789.441
226	3	1402922791.407	1402922797.746
227	2	1402922798.834	1402922819.186
228	3	1402922819.839	1402922823.128
229	4	1402922823.546	1402922974.36
230	3	1402922974.875	1402923020.756
231	2	1402923021.325	1402923025.044
232	1	1402923025.571	1402923031.202
233	4	1402923032.548	1402923101.036
234	1	1402923101.515	1402923105.589
235	1	1402923105.589	1402923123.009
236	2	1402923123.508	1402923125.825
237	2	1402923125.825	1402923138.141
238	1	1402923138.745	1402923150.034
239	3	1402923152.653	1402923294.315
240	4	1402923294.803	1402923537.634
241	3	1402923541.648	1402923603.99
242	4	1402923603.99	1402923617.116
243	1	1402923617.976	1402923623.568
244	3	1402923624.956	1402924109.282
245	4	1402924110.162	1402924117.829
246	3	1402924118.214	1402924135.873
247	4	1402924136.982	1402924140.066
248	4	1402924140.066	1402924142.135
249	1	1402924142.588	1402924157.562
250	2	1402924158.238	1402924173.004
251	3	1402924173.597	1402924226.08
252	4	1402924227.285	1402924247.009
253	1	1402924247.473	1402924249.757
254	1	1402924249.757	1402924258.383
255	2	1402924258.781	1402924267.763
256	3	1402924267.763	1402924599.953
257	4	1402924602.422	1402924607.078
258	1	1402924607.91	1402924612.176
259	1	1402924612.176	1402924616.713
260	3	1402924618.745	1402927073.56
261	4	1402927187.935	1402927201.37
262	3	1402927201.897	1402927226.043
263	4	1402927226.625	1402927239.992
264	2	1402927243.906	1402927248.318
265	3	1402927248.622	1402927382.281
266	4	1402927382.709	1402927391.048
267	3	1402927391.406	1402927402.811
268	2	1402927404.322	1402927623.887
269	3	1402927624.413	1402927745.41
270	4	1402927746.058	1402927939.714
271	3	1402927940.351	1402927949.875
272	4	1402927950.721	1402928006.886
273	1	1402928007.41	1402928025.319
274	2	1402928025.876	1402928033.304
275	1	1402928036.901	1402928047.622
276	2	1402928048.144	1402928052.764
277	3	1402928052.764	1402928217.541
278	4	1402928218.465	1402928230.473
279	1	1402928231.636	1402928242.031
280	2	1402928242.39	1402928244.567
281	3	1402928244.864	1402928307.988
282	4	1402928308.416	1402928329.694
283	3	1402928330.024	1402928408.361
284	4	1402928409.662	1402928418.83
285	3	1402928419.067	1402928592.734
286	2	1402928593.349	1402928600.315
287	3	1402928600.738	1402928606.722
288	4	1402928607.151	1402928609.517
289	1	1402928609.982	1402928615.788
290	2	1402928615.788	1402928618.126
291	3	1402928618.485	1402928930.591
292	4	1402928931.254	1402928938.33
293	3	1402928938.66	1402933316.66
294	3	1402933325.961	1402942436.758
295	4	1402942437.669	1402942456.074
296	1	1402942457.086	1402942481.977
297	4	1402942482.429	1402942501.12
298	3	1402942501.638	1402942622.06
299	2	1402942623.276	1402942757.747
300	3	1402942758.593	1402944064.946
301	4	1402944065.795	1402944077.568
