	Room	Start	End
0	2	1402913993.968	1402914008.093
1	3	1402914008.815	1402914015.206
2	4	1402914015.889	1402914030.232
3	1	1402914031.078	1402914052.474
4	2	1402914053.056	1402914067.453
5	3	1402914067.969	1402914073.469
6	4	1402914073.987	1402914080.053
7	1	1402914080.698	1402914108.547
8	2	1402914109.126	1402914121.826
9	1	1402914122.383	1402914196.002
10	4	1402914196.987	1402914220.357
11	1	1402914220.845	1402914303.142
12	4	1402914303.604	1402914306.953
13	3	1402914311.058	1402914313.949
14	2	1402914314.35	1402914336.521
15	3	1402914338.694	1402914362.61
16	4	1402914363.038	1402914433.555
17	1	1402914433.955	1402914446.392
18	2	1402914449.01	1402914459.666
19	2	1402914459.666	1402914465.415
20	1	1402914465.931	1402914468.008
21	1	1402914468.008	1402914501.477
22	2	1402914507.363	1402914528.658
23	3	1402914529.162	1402914538.484
24	3	1402914538.484	1402914590.936
25	2	1402914592.027	1402914596.692
26	3	1402914597.119	1402914601.127
27	3	1402914601.127	1402914651.656
28	2	1402914653.351	1402914658.036
29	1	1402914658.535	1402914660.692
30	1	1402914660.692	1402914664.992
31	4	1402914665.447	1402914675.765
32	1	1402914676.191	1402914686.797
33	2	1402914687.445	1402914699.645
34	2	1402914699.645	1402914706.785
35	2	1402914706.785	1402914757.637
36	1	1402914758.273	1402914764.669
37	4	1402914765.481	1402914770.602
38	4	1402914770.602	1402914828.476
39	3	1402914828.877	1402914832.458
40	2	1402914833.172	1402914847.421
41	3	1402914847.746	1402914909.252
42	2	1402914909.848	1402914914.039
43	1	1402914915.303	1402914965.316
44	4	1402914965.841	1402914994.959
45	3	1402914995.358	1402915041.492
46	4	1402915042.05	1402915045.018
47	1	1402915045.979	1402915049.774
48	2	1402915050.333	1402915138.447
49	1	1402915139.925	1402915159.12
50	4	1402915159.974	1402915226.725
51	1	1402915227.196	1402915233.033
52	2	1402915233.494	1402915247.685
53	3	1402915248.124	1402915261.556
54	4	1402915262.046	1402915328.357
55	1	1402915328.774	1402915349.561
56	2	1402915349.994	1402915383.658
57	3	1402915384.391	1402915391.739
58	2	1402915392.267	1402915409.727
59	3	1402915410.892	1402915414.934
60	3	1402915415.957	1402915419.871
61	2	1402915422.949	1402915437.076
62	3	1402915439.407	1402915441.771
63	3	1402915441.771	1402915448.108
64	3	1402915485.006	1402915499.643
65	4	1402915500.141	1402915508.512
66	1	1402915509.033	1402915513.168
67	2	1402915515.887	1402915585.043
68	3	1402915585.643	1402915633.189
69	4	1402915634.898	1402915692.516
70	1	1402915692.904	1402915700.829
71	4	1402915702.116	1402915725.344
72	3	1402915725.985	1402915734.368
73	2	1402915735.312	1402915764.097
74	3	1402915764.528	1402915849.991
75	4	1402915855.565	1402915882.03
76	1	1402915882.462	1402915913.998
77	4	1402915914.455	1402915919.765
78	3	1402915920.256	1402915953.288
79	2	1402915954.077	1402915957.206
80	1	1402915958.787	1402916004.223
81	2	1402916004.887	1402916013.214
82	2	1402916013.214	1402916015.227
83	2	1402916015.227	1402916018.369
84	1	1402916019.065	1402916021.557
85	4	1402916024.138	1402916036.281
86	3	1402916036.673	1402916115.004
87	2	1402916115.434	1402916170.922
88	1	1402916172.594	1402916196.329
89	4	1402916196.773	1402916233.543
90	4	1402916233.543	1402916238.515
91	3	1402916240.467	1402916276.949
92	4	1402916277.444	1402916374.404
93	1	1402916374.799	1402916377.612
94	2	1402916378.718	1402916386.883
95	2	1402916386.883	1402916443.304
96	3	1402916444.342	1402916470.638
97	2	1402916471.195	1402916533.222
98	3	1402916533.835	1402916542.334
99	2	1402916542.695	1402916544.961
100	1	1402916546.107	1402916548.442
101	1	1402916548.442	1402916567.804
102	4	1402916568.327	1402916660.443
103	2	1402916663.796	1402916668.266
104	1	1402916670.926	1402916677.45
105	1	1402916677.45	1402916683.761
106	4	1402916689.288	1402916696.064
107	3	1402916696.586	1402916774.576
108	2	1402916775.727	1402916785.184
109	3	1402916785.743	1402916827.358
110	2	1402916830.151	1402916832.42
111	2	1402916832.42	1402916874.222
112	1	1402916874.574	1402916899.087
113	4	1402916899.422	1402916982.96
114	3	1402916983.315	1402916999.855
115	2	1402917001.491	1402917003.663
116	2	1402917003.663	1402917027.402
117	2	1402917027.402	1402917077.977
118	3	1402917082.796	1402917184.283
119	4	1402917186.058	1402917217.183
120	1	1402917220.003	1402917238.843
121	2	1402917242.953	1402917300.816
122	3	1402917301.604	1402917352.872
123	4	1402917353.243	1402917386.501
124	3	1402917387.294	1402917391.161
125	2	1402917391.71	1402917403.77
126	3	1402917404.068	1402917410.897
127	4	1402917411.533	1402917459.837
128	1	1402917460.27	1402917528.17
129	4	1402917528.55	1402917532.745
130	3	1402917533.177	1402917595.768
131	4	1402917600.467	1402917609.215
132	3	1402917609.839	1402917657.805
133	4	1402917658.368	1402917663.614
134	1	1402917663.967	1402917714.015
135	2	1402917715.165	1402917746.506
136	1	1402917747.037	1402917759.546
137	1	1402917759.546	1402917814.927
138	4	1402917815.675	1402917827.039
139	3	1402917827.562	1402917841.924
140	2	1402917842.279	1402917896.969
141	1	1402917898.392	1402917901.348
142	1	1402917901.348	1402917937.677
143	2	1402917938.168	1402917970.777
144	3	1402917971.243	1402917994.195
145	4	1402917994.195	1402918011.223
146	3	1402918011.782	1402918017.666
147	2	1402918018.38	1402918179.377
148	1	1402918179.764	1402918203.704
149	4	1402918204.451	1402918345.826
150	1	1402918347.473	1402918365.886
151	2	1402918366.435	1402918415.629
152	3	1402918416.307	1402918421.049
153	4	1402918422.595	1402918440.352
154	2	1402918441.388	1402918506.012
155	3	1402918508.083	1402918530.831
156	2	1402918533.679	1402918540.939
157	1	1402918547.117	1402918593.399
158	2	1402918593.767	1402918639.062
159	3	1402918642.258	1402918730.874
160	4	1402918731.76	1402918742.767
161	3	1402918744.01	1402918746.239
162	2	1402918746.76	1402918760.122
163	2	1402918760.122	1402918769.45
164	1	1402918770.462	1402918792.234
165	4	1402918792.788	1402918837.733
166	3	1402918838.292	1402918924.711
167	2	1402918925.703	1402918944.006
168	3	1402918944.823	1402919118.554
169	4	1402919119.023	1402919284.487
170	1	1402919285.498	1402919452.074
171	2	1402919452.828	1402919455.618
172	2	1402919457.359	1402919459.953
173	4	1402919463.111	1402919477.949
174	3	1402919478.573	1402919626.405
175	1	1402919628.093	1402919636.963
176	2	1402919637.812	1402919658.019
177	1	1402919658.514	1402919668.132
178	3	1402919671.154	1402920104.853
179	4	1402920113.787	1402920134.324
180	1	1402920135.116	1402920140.524
181	2	1402920141.208	1402920239.52
182	3	1402920240.276	1402920331.736
183	4	1402920334.359	1402920337.618
184	4	1402920338.209	1402920627.479
185	1	1402920627.946	1402920662.841
186	2	1402920663.949	1402920701.064
187	3	1402920706.216	1402920719.783
188	4	1402920720.329	1402920723.459
189	4	1402920725.121	1402920749.21
190	3	1402920749.698	1402920752.672
191	2	1402920753.092	1402920762.287
192	1	1402920762.848	1402920782.678
193	4	1402920783.657	1402920803.558
194	1	1402920803.927	1402920814.326
195	4	1402920815.202	1402920827.755
196	3	1402920829.885	1402920969.947
197	2	1402920970.596	1402921015.863
198	1	1402921018.193	1402921100.589
199	4	1402921101.113	1402921113.758
200	3	1402921114.877	1402921213.553
201	3	1402921220.074	1402921352.661
202	4	1402921353.212	1402921485.415
203	1	1402921486.142	1402921509.674
204	2	1402921510.154	1402921541.911
205	3	1402921547.201	1402922221.881
206	4	1402922222.739	1402922228.838
207	1	1402922229.228	1402922238.751
208	3	1402922241.328	1402925845.262
209	4	1402925846.544	1402925851.33
210	1	1402925851.956	1402925871.999
211	2	1402925872.786	1402925888.745
212	1	1402925889.54	1402925893.225
213	3	1402925894.991	1402926183.221
214	3	1402926183.221	1402926186.307
215	3	1402926186.307	1402926638.602
216	4	1402926639.267	1402926643.644
217	3	1402926644.739	1402926769.135
218	2	1402926769.793	1402926772.253
219	2	1402926772.253	1402926774.649
220	2	1402926774.649	1402926790.335
221	3	1402926790.732	1402926873.524
222	4	1402926874.313	1402926932.554
223	3	1402926932.856	1402927024.703
224	2	1402927025.285	1402927038.014
225	1	1402927039.561	1402927044.128
226	4	1402927044.886	1402927098.224
227	3	1402927104.562	1402927271.49
228	4	1402927272.311	1402927293.828
229	3	1402927295.076	1402927419.569
230	2	1402927420.232	1402927578.547
231	1	1402927579.21	1402927581.399
232	1	1402927581.639	1402927590.359
233	4	1402927590.762	1402927609.43
234	3	1402927613.478	1402927752.841
235	4	1402927754.125	1402927840.833
236	1	1402927841.356	1402927868.455
237	2	1402927869.071	1402927927.19
238	3	1402927927.684	1402928013.124
239	4	1402928014.841	1402928083.387
240	3	1402928083.852	1402928141.987
241	4	1402928142.475	1402928180.797
242	1	1402928183.259	1402928294.344
243	4	1402928294.76	1402928402.769
244	1	1402928403.524	1402928410.929
245	2	1402928411.939	1402928476.765
246	4	1402928478.734	1402928492.185
247	3	1402928492.608	1402940761.358
248	4	1402940762.47	1402940766.871
249	1	1402940768.079	1402940772.714
250	2	1402940773.307	1402940777.199
251	3	1402940777.626	1402940845.271
252	4	1402940845.793	1402940858.842
253	1	1402940859.267	1402940863.457
254	2	1402940864.521	1402940900.649
255	3	1402940901.176	1402941124.012
256	4	1402941124.369	1402941135.872
257	1	1402941136.323	1402941144.196
258	2	1402941144.551	1402941172.276
259	3	1402941173.039	1402941191.921
260	2	1402941192.484	1402941264.816
261	3	1402941265.246	1402941279.533
262	4	1402941279.832	1402941388.831
263	1	1402941389.784	1402941402.288
264	2	1402941402.585	1402941608.137
265	2	1402941608.137	1402941625.858
266	3	1402941628.621	1402941663.314
267	1	1402941664.769	1402941680.778
268	4	1402941681.192	1402941710.325
269	3	1402941710.793	1402941713.6
270	2	1402941713.983	1402941827.342
271	1	1402941828.029	1402941840.091
272	2	1402941840.616	1402941904.589
273	3	1402941905.283	1402941962.234
274	2	1402941962.926	1402941965.618
275	1	1402941965.912	1402941978.246
276	2	1402941978.574	1402941981.385
277	3	1402941983.99	1402941986.323
278	1	1402941987.707	1402941990.452
279	2	1402941990.81	1402942009.987
280	3	1402942012.251	1402942015.781
281	3	1402942015.781	1402942179.938
282	2	1402942180.896	1402942185.169
283	1	1402942185.566	1402942189.065
284	1	1402942189.065	1402942225.418
285	1	1402942225.418	1402942229.539
286	4	1402942229.998	1402942235.19
287	1	1402942235.419	1402942267.937
288	2	1402942268.426	1402942436.637
289	1	1402942437.267	1402942439.551
290	2	1402942440.151	1402942456.231
291	3	1402942456.659	1402942820.817
292	3	1402942820.817	1402943135.361
293	2	1402943136.004	1402943141.347
294	4	1402943143.902	1402943146.676
295	3	1402943147.558	1402943521.014
296	4	1402943521.706	1402943567.873
297	1	1402943568.127	1402943582.957
298	2	1402943583.597	1402943647.328
299	3	1402943647.915	1402943669.402
300	3	1402943673.779	1402943714.084
301	4	1402943714.692	1402943717.983
302	4	1402943717.983	1402943730.074
303	1	1402943733.479	1402943740.541
304	4	1402943742.773	1402943808.214
305	1	1402943809.177	1402943981.16
306	4	1402943982.968	1402943985.651
307	3	1402943990.336	1402944154.357
308	3	1402944154.357	1402944158.316
309	2	1402944158.847	1402944206.019
310	3	1402944206.447	1402944236.831
311	4	1402944237.361	1402944239.534
312	4	1402944239.534	1402944290.333
313	3	1402944290.733	1402944453.944
314	2	1402944455.222	1402944461.295
315	1	1402944463.096	1402944476.915
316	2	1402944477.285	1402944753.798
317	3	1402944754.977	1402944763.013
318	4	1402944763.669	1402944766.48
319	3	1402944766.88	1402944935.012
320	2	1402944935.667	1402944987.46
321	1	1402944991.655	1402954010.332
322	4	1402954011.254	1402954076.248
323	4	1402954092.539	1402954135.281
324	1	1402954135.746	1402954238.252
325	2	1402954239.145	1402954272.19
326	2	1402954272.19	1402954292.452
327	1	1402954293.08	1402954383.041
328	4	1402954384.199	1402954387.617
329	1	1402954387.914	1402954443.892
330	2	1402954445.167	1402954450.266
331	3	1402954450.266	1402954452.375
332	1	1402954454.34	1402954865.928
333	2	1402954866.521	1402954882.33
334	3	1402954882.629	1402954895.723
335	4	1402954896.307	1402954898.452
336	1	1402954898.757	1402955738.193
337	1	1402955740.621	1402958987.95
338	2	1402958989.356	1402959003.174
339	1	1402959003.957	1402961029.195
340	2	1402961032.529	1402961049.933
341	3	1402961050.521	1402961055.807
342	3	1402961055.807	1402961095.854
343	4	1402961096.705	1402961107.824
344	1	1402961108.348	1402961125.842
345	4	1402961126.431	1402961165.09
346	3	1402961166.6	1402961170.251
347	2	1402961170.874	1402961266.416
348	3	1402961266.869	1402961393.804
349	3	1402961393.804	1402961395.992
350	1	1402961398.927	1402961401.898
351	4	1402961404.209	1402961429.862
352	1	1402961430.428	1402961594.454
353	4	1402961594.908	1402961607.786
354	3	1402961608.403	1402961832.603
355	3	1402961832.603	1402961837.445
356	2	1402961838.359	1402961855.588
357	1	1402961856.939	1402961958.955
358	4	1402961959.496	1402962013.995
359	3	1402962014.842	1402962022.306
360	2	1402962022.829	1402962026.049
361	4	1402962027.73	1402962061.338
362	1	1402962061.742	1402962080.977
363	4	1402962081.576	1402962098.995
364	3	1402962099.586	1402962125.857
365	3	1402962125.857	1402962179.947
366	1	1402962182.891	1402964818.236
367	2	1402964818.928	1402964864.461
368	3	1402964864.818	1402964867.742
369	4	1402964868.231	1402965006.98
370	1	1402965007.317	1402965141.415
371	2	1402965142.231	1402965159.251
372	3	1402965159.683	1402965165.721
373	3	1402965166.871	1402965172.675
374	1	1402965174.67	1402965197.372
375	4	1402965199.186	1402965205.246
376	1	1402965205.551	1402966608.497
377	2	1402966609.931	1402966653.402
378	3	1402966655.684	1402966667.679
379	4	1402966669.551	1402966711.801
380	1	1402966712.649	1402966721.527
381	2	1402966723.204	1402966837.234
382	3	1402966838.52	1402966851.364
383	2	1402966852.218	1402966871.029
384	1	1402966871.543	1402966923.542
385	2	1402966924.0	1402966979.43
386	1	1402966979.825	1402966998.893
387	4	1402966999.515	1402967193.041
388	1	1402967193.435	1402967226.218
389	1	1402967230.099	1402967464.053
390	2	1402967465.097	1402967486.713
391	3	1402967487.132	1402967504.559
392	3	1402967504.559	1402967515.489
393	2	1402967516.074	1402967518.388
394	1	1402967518.851	1402982140.837
395	2	1402982141.492	1402982166.22
396	1	1402982166.686	1402982178.225
397	4	1402982178.819	1402982186.432
398	3	1402982186.929	1402982195.511
399	2	1402982196.351	1402982201.895
400	3	1402982202.237	1402982205.178
401	1	1402982207.191	1402982587.635
402	1	1402982587.635	1402982773.116
403	4	1402982774.151	1402983274.287
404	1	1402983274.577	1402983298.092
405	4	1402983298.774	1402983300.795
406	3	1402983301.24	1402983308.082
407	2	1402983309.134	1402983313.064
408	3	1402983313.354	1402983316.022
409	4	1402983316.418	1402983321.888
410	1	1402983322.151	1402983331.37
411	1	1402983335.761	1402983437.849
412	4	1402983438.535	1402983460.77
413	1	1402983461.094	1402991549.868
414	4	1402991552.029	1402991736.627
415	3	1402991737.228	1402991746.081
416	4	1402991746.626	1402991916.458
417	1	1402991917.193	1402991920.82
418	1	1402991921.666	1402992038.486
419	4	1402992039.113	1402992103.706
420	1	1402992104.006	1402992112.314
421	4	1402992112.665	1402992373.711
422	3	1402992374.829	1402992396.498
423	1	1402992397.95	1402992424.425
424	2	1402992425.766	1402992479.222
425	3	1402992482.495	1402992499.954
426	4	1402992500.484	1402992574.636
427	3	1402992575.155	1402992580.955
428	4	1402992581.313	1402992686.792
429	1	1402992687.756	1402992695.457
430	3	1402992698.345	1402992700.87
431	3	1402992700.87	1402992730.736
432	4	1402992731.231	1402992784.86
433	1	1402992785.755	1402992813.499
434	2	1402992814.049	1402992816.135
435	3	1402992816.498	1402992823.127
436	2	1402992826.613	1402992833.043
437	2	1402992833.043	1402992886.892
438	1	1402992888.3	1402994280.482
439	4	1402994281.467	1402994292.041
440	1	1402994292.337	1402996510.317
441	1	1402996510.972	1402996641.61
442	4	1402996643.313	1402996645.501
443	4	1402996645.501	1402996647.545
444	4	1402996647.545	1402996851.612
445	1	1402996851.904	1402996982.464
446	4	1402996983.306	1402997516.854
447	1	1402997518.002	1402997522.693
448	2	1402997523.19	1402997525.323
449	3	1402997525.718	1402997538.177
450	4	1402997541.473	1402997562.217
451	4	1402997563.59	1402997578.124
452	4	1402997578.124	1402997586.509
453	1	1402997586.877	1402997623.245
454	2	1402997623.877	1402997637.414
455	3	1402997639.827	1402997643.726
456	4	1402997644.874	1402997832.137
457	1	1402997832.96	1402997853.442
458	4	1402997853.812	1402998256.082
459	1	1402998256.412	1402998302.0
460	2	1402998302.526	1402998305.009
461	3	1402998306.429	1402998328.394
462	3	1402998328.394	1402998331.27
463	2	1402998334.737	1402998342.629
464	3	1402998343.06	1402998493.437
465	3	1402998493.437	1402998598.412
466	4	1402998599.621	1402998826.375
467	3	1402998829.883	1402998832.086
468	1	1402998834.382	1402999607.967
469	2	1402999609.475	1402999615.248
470	3	1402999615.619	1402999629.994
471	4	1402999630.583	1402999637.118
472	1	1402999637.556	1403000896.648
473	2	1403000897.849	1403000904.676
474	3	1403000907.438	1403000912.448
475	4	1403000912.92	1403000932.368
476	1	1403000932.685	1403001014.065
477	4	1403001014.708	1403001193.011
478	1	1403001193.698	1403001239.364
479	2	1403001239.984	1403001246.608
480	3	1403001247.037	1403001259.939
481	4	1403001260.394	1403001356.238
482	1	1403001360.346	1403001985.334
483	4	1403001987.825	1403002162.934
484	1	1403002164.489	1403002189.878
485	2	1403002191.94	1403002196.988
486	1	1403002197.45	1403002674.386
487	4	1403002683.923	1403002740.389
488	1	1403002740.684	1403005565.359
489	1	1403005565.359	1403005582.921
490	4	1403005583.943	1403005608.598
491	3	1403005611.137	1403005635.364
492	4	1403005635.58	1403006186.666
493	1	1403006187.737	1403013182.965
494	4	1403013184.553	1403013452.091
495	1	1403013452.327	1403013621.361
496	2	1403013622.518	1403013645.563
497	2	1403013645.563	1403013648.299
498	1	1403013648.728	1403013654.508
499	4	1403013655.133	1403013692.129
500	3	1403013692.629	1403013697.438
501	1	1403013699.127	1403015793.331
502	4	1403015793.847	1403015805.825
503	1	1403015806.144	1403015876.741
504	4	1403015877.352	1403015885.275
505	1	1403015885.64	1403015914.445
506	4	1403015916.662	1403015921.261
507	1	1403015921.522	1403016389.706
