	Room	Start	End
0	4	1402913983.273	1402913998.064
1	1	1402913998.63	1402914010.984
2	2	1402914011.922	1402914038.956
3	3	1402914041.004	1402914057.489
4	4	1402914058.156	1402914107.005
5	3	1402914107.699	1402914134.328
6	2	1402914134.991	1402914166.394
7	1	1402914166.954	1402914181.911
8	4	1402914182.531	1402914240.915
9	3	1402914241.69	1402914252.093
10	4	1402914253.2	1402914258.434
11	1	1402914259.062	1402914278.155
12	4	1402914278.719	1402914337.608
13	3	1402914338.065	1402914367.692
14	4	1402914368.214	1402914376.711
15	1	1402914377.175	1402914387.68
16	2	1402914388.483	1402914408.421
17	3	1402914408.904	1402914460.04
18	2	1402914461.854	1402914467.94
19	3	1402914468.634	1402914478.32
20	4	1402914478.786	1402914555.158
21	3	1402914555.759	1402914604.275
22	2	1402914605.189	1402914621.471
23	1	1402914623.34	1402914763.8
24	2	1402914764.314	1402914773.261
25	1	1402914773.817	1402914781.922
26	4	1402914782.301	1402914804.978
27	3	1402914805.785	1402914820.095
28	2	1402914820.617	1402914876.846
29	3	1402914877.699	1402914882.426
30	4	1402914882.947	1402914916.797
31	3	1402914917.869	1402914993.629
32	2	1402914994.064	1402915022.137
33	1	1402915022.805	1402915048.264
34	4	1402915048.725	1402915072.859
35	1	1402915073.427	1402915077.166
36	1	1402915077.166	1402915087.583
37	4	1402915089.757	1402915092.177
38	3	1402915092.837	1402915171.54
39	4	1402915172.064	1402915190.849
40	1	1402915191.601	1402915203.567
41	4	1402915204.218	1402915255.209
42	3	1402915255.755	1402915338.26
43	4	1402915338.786	1402915343.191
44	1	1402915346.284	1402915424.166
45	4	1402915424.785	1402915447.698
46	4	1402915447.698	1402915469.411
47	1	1402915471.44	1402915481.152
48	4	1402915482.46	1402915510.7
49	1	1402915511.301	1402915571.736
50	2	1402915572.261	1402915659.979
51	3	1402915660.932	1402915673.203
52	4	1402915673.715	1402915680.601
53	2	1402915684.126	1402915687.625
54	1	1402915688.171	1402915696.016
55	2	1402915697.961	1402915762.324
56	3	1402915762.324	1402915768.159
57	4	1402915768.682	1402915817.567
58	1	1402915820.426	1402915826.253
59	2	1402915827.095	1402915841.2
60	1	1402915841.893	1402915885.37
61	1	1402915885.37	1402915888.502
62	1	1402915888.502	1402915893.16
63	1	1402915923.849	1402915934.184
64	2	1402915935.16	1402915940.628
65	3	1402915941.148	1402915977.682
66	3	1402915977.682	1402915985.423
67	4	1402915985.818	1402916013.677
68	1	1402916014.204	1402916031.281
69	4	1402916032.429	1402916044.78
70	3	1402916045.335	1402916052.285
71	3	1402916052.285	1402916148.76
72	2	1402916150.146	1402916169.468
73	2	1402916207.296	1402916216.518
74	3	1402916217.595	1402916238.326
75	4	1402916240.0	1402916350.11
76	1	1402916350.724	1402916388.523
77	2	1402916389.036	1402916442.665
78	3	1402916443.544	1402916457.11
79	4	1402916457.505	1402916516.002
80	1	1402916516.554	1402916529.859
81	1	1402916529.859	1402916634.265
82	4	1402916634.886	1402916638.272
83	4	1402916638.895	1402916683.65
84	4	1402916683.65	1402916693.763
85	3	1402916694.381	1402916724.838
86	4	1402916725.456	1402916732.734
87	1	1402916733.191	1402916735.507
88	1	1402916735.939	1402916776.768
89	2	1402916777.432	1402916794.796
90	2	1402916794.796	1402916804.371
91	3	1402916804.371	1402916838.077
92	2	1402916841.94	1402916851.605
93	2	1402916851.605	1402916928.137
94	3	1402916928.688	1402916933.672
95	3	1402916933.672	1402916936.094
96	4	1402916936.556	1402916993.137
97	3	1402916994.118	1402917036.401
98	4	1402917038.823	1402917049.709
99	1	1402917050.162	1402917052.766
100	1	1402917052.766	1402917112.9
101	4	1402917114.573	1402917223.629
102	3	1402917224.681	1402917227.797
103	3	1402917227.797	1402917287.083
104	2	1402917287.542	1402917333.687
105	1	1402917334.569	1402917366.745
106	1	1402917366.745	1402917372.864
107	4	1402917373.395	1402917402.145
108	1	1402917402.595	1402917404.672
109	1	1402917405.167	1402917421.878
110	1	1402917421.878	1402917580.122
111	4	1402917580.91	1402917584.217
112	4	1402917584.217	1402917593.895
113	3	1402917594.431	1402917605.864
114	2	1402917606.315	1402917625.838
115	1	1402917626.433	1402917708.014
116	4	1402917710.078	1402917714.581
117	3	1402917715.366	1402917731.138
118	4	1402917731.466	1402917872.679
119	3	1402917873.233	1402917877.326
120	2	1402917877.742	1402917883.136
121	1	1402917883.758	1402917887.219
122	4	1402917890.86	1402917932.647
123	3	1402917933.176	1402917976.019
124	2	1402917976.512	1402918094.378
125	1	1402918094.882	1402918187.177
126	2	1402918187.668	1402918198.226
127	1	1402918198.984	1402918204.423
128	4	1402918204.786	1402918270.231
129	3	1402918270.757	1402918280.006
130	2	1402918280.662	1402918408.122
131	3	1402918408.719	1402918414.725
132	3	1402918414.725	1402918418.029
133	4	1402918418.92	1402918451.277
134	1	1402918451.619	1402918509.503
135	4	1402918511.143	1402918520.548
136	3	1402918521.133	1402918529.106
137	2	1402918529.782	1402918548.44
138	3	1402918548.979	1402918630.007
139	4	1402918630.755	1402918680.101
140	1	1402918680.622	1402918731.075
141	4	1402918731.598	1402918735.722
142	3	1402918735.722	1402918856.227
143	2	1402918856.694	1402918878.028
144	1	1402918878.525	1402918882.993
145	4	1402918883.672	1402918888.228
146	3	1402918888.228	1402918995.464
147	2	1402918995.862	1402919015.614
148	1	1402919016.108	1402919028.713
149	4	1402919029.181	1402919042.379
150	3	1402919042.905	1402919053.726
151	2	1402919054.536	1402919127.267
152	3	1402919127.864	1402919134.087
153	4	1402919134.503	1402919271.948
154	1	1402919272.382	1402919361.707
155	1	1402919361.707	1402919364.918
156	1	1402919368.418	1402919379.079
157	2	1402919379.602	1402919398.42
158	1	1402919399.049	1402919404.54
159	4	1402919405.033	1402919409.404
160	3	1402919409.922	1402919456.856
161	4	1402919457.247	1402919496.174
162	1	1402919496.592	1402919503.637
163	4	1402919504.16	1402919546.687
164	3	1402919547.224	1402919549.749
165	3	1402919550.535	1402919552.603
