	Room	Start	End
0	3	1402914285.523	1402914287.856
1	3	1402914287.856	1402914292.522
2	3	1402914307.799	1402914626.16
3	3	1402914646.656	1402914790.365
4	2	1402914793.061	1402914880.503
5	3	1402914881.709	1402914919.826
6	2	1402914921.174	1402914925.583
7	2	1402914925.871	1402915000.997
8	3	1402915001.921	1402915036.17
9	2	1402915037.194	1402915039.798
10	2	1402915043.122	1402915092.752
11	3	1402915096.905	1402915105.382
12	4	1402915108.39	1402915137.081
13	3	1402915138.173	1402915144.725
14	4	1402915145.674	1402915164.462
15	1	1402915167.204	1402915182.15
16	2	1402915184.643	1402915192.91
17	3	1402915193.73	1402915198.146
18	4	1402915199.283	1402915209.506
19	1	1402915210.661	1402915220.763
20	2	1402915224.628	1402915239.627
21	1	1402915240.702	1402915277.074
22	4	1402915278.284	1402915283.57
23	4	1402915283.57	1402915290.863
24	3	1402915293.133	1402915309.016
25	4	1402915309.713	1402915337.03
26	1	1402915337.752	1402915362.179
27	4	1402915363.003	1402915387.683
28	3	1402915388.63	1402915393.799
29	3	1402915410.014	1402915445.695
30	4	1402915446.771	1402915449.039
31	4	1402915449.039	1402915455.579
32	1	1402915456.791	1402915461.27
33	2	1402915461.27	1402915479.63
34	3	1402915480.479	1402915570.372
35	4	1402915571.385	1402915578.84
36	1	1402915579.598	1402915584.39
37	2	1402915586.365	1402915603.078
38	3	1402915604.093	1402915610.881
39	4	1402915611.545	1402915710.487
40	3	1402915711.203	1402915733.265
41	2	1402915734.018	1402915741.217
42	1	1402915743.097	1402915784.992
43	4	1402915785.75	1402915798.074
44	3	1402915802.82	1402915845.885
45	4	1402915847.801	1402915885.0
46	4	1402915885.0	1402915887.365
47	1	1402915889.732	1402915896.962
48	2	1402915897.716	1402915907.002
49	3	1402915907.569	1402915932.233
50	2	1402915932.912	1402915939.793
51	1	1402915940.527	1402915968.382
52	4	1402915969.098	1402915980.998
53	1	1402915986.58	1402915990.659
54	2	1402915993.738	1402916020.307
55	3	1402916020.861	1402916047.365
56	2	1402916048.118	1402916070.828
57	1	1402916071.61	1402916095.122
58	1	1402916095.122	1402916099.308
59	4	1402916100.105	1402916102.75
60	3	1402916104.397	1402916183.946
61	4	1402916184.634	1402916200.654
62	1	1402916201.282	1402916224.372
63	2	1402916227.632	1402916246.486
