	Room	Start	End
0	2	1402914041.954	1402914066.031
1	3	1402914066.579	1402914090.973
2	2	1402914091.51	1402914095.036
3	1	1402914095.527	1402914126.76
4	2	1402914129.254	1402914140.199
5	3	1402914140.719	1402914156.102
6	4	1402914156.892	1402914179.72
7	1	1402914180.249	1402914182.579
8	2	1402914185.179	1402914200.597
9	3	1402914201.166	1402914213.962
10	2	1402914214.782	1402914217.145
11	1	1402914217.567	1402914249.999
12	3	1402914254.538	1402914262.992
13	4	1402914263.711	1402914295.82
14	4	1402914295.82	1402914309.577
15	1	1402914310.011	1402914314.43
16	1	1402914314.43	1402914338.634
17	2	1402914339.154	1402914342.447
18	3	1402914345.02	1402914355.915
19	4	1402914357.16	1402914410.635
20	1	1402914411.029	1402914416.228
21	2	1402914416.614	1402914425.272
22	1	1402914425.734	1402914436.646
23	2	1402914437.11	1402914441.87
24	1	1402914444.586	1402914447.167
25	4	1402914447.627	1402914454.602
26	3	1402914455.262	1402914472.9
27	2	1402914473.499	1402914481.278
28	3	1402914481.781	1402914488.372
29	4	1402914488.962	1402914494.507
30	1	1402914494.859	1402914496.86
31	3	1402914499.082	1402914501.443
32	3	1402914501.443	1402914512.629
33	4	1402914513.211	1402914603.88
34	3	1402914605.872	1402914610.107
35	4	1402914610.605	1402914615.371
36	1	1402914615.96	1402914620.273
37	4	1402914620.929	1402914626.674
38	3	1402914628.869	1402914635.09
39	2	1402914641.067	1402914654.091
40	1	1402914654.589	1402914669.257
41	4	1402914670.015	1402914678.814
42	3	1402914679.237	1402914685.41
43	2	1402914685.971	1402914691.917
44	1	1402914692.452	1402914705.204
45	4	1402914705.713	1402914708.67
46	3	1402914713.595	1402914722.136
47	2	1402914723.51	1402914733.82
48	1	1402914734.293	1402914737.153
49	1	1402914737.153	1402914785.72
50	2	1402914786.28	1402914809.761
51	1	1402914810.482	1402914831.177
52	4	1402914832.2	1402914842.886
53	1	1402914843.335	1402914846.477
54	2	1402914846.868	1402914859.168
55	1	1402914865.185	1402914936.981
56	2	1402914937.444	1402914945.024
57	3	1402914945.53	1402914952.629
58	3	1402914952.629	1402914958.219
59	4	1402914958.682	1402914976.3
60	3	1402914976.756	1402915017.058
61	4	1402915018.967	1402915029.079
62	3	1402915032.0	1402915040.85
63	2	1402915044.861	1402915047.825
64	1	1402915048.352	1402915125.924
65	4	1402915126.447	1402915130.594
66	3	1402915134.098	1402915145.725
67	2	1402915146.105	1402915201.839
68	3	1402915202.404	1402915221.845
69	4	1402915222.303	1402915240.114
70	3	1402915241.373	1402915302.273
71	4	1402915302.764	1402915305.228
72	1	1402915305.624	1402915312.482
73	2	1402915312.949	1402915360.287
74	3	1402915361.003	1402915364.148
75	4	1402915364.648	1402915383.863
76	1	1402915384.29	1402915402.393
77	2	1402915402.949	1402915414.482
78	1	1402915415.11	1402915417.938
79	2	1402915418.301	1402915422.251
80	3	1402915423.432	1402915426.311
81	4	1402915427.171	1402915434.695
82	3	1402915436.363	1402915448.635
83	3	1402915448.635	1402915451.257
84	4	1402915452.778	1402915457.128
85	1	1402915458.995	1402915461.568
86	2	1402915461.989	1402915480.36
87	4	1402915483.403	1402915503.353
88	1	1402915503.809	1402915506.092
89	2	1402915507.997	1402915518.847
90	3	1402915519.443	1402915523.486
91	4	1402915523.914	1402915590.357
92	1	1402915590.718	1402915596.644
93	2	1402915596.972	1402915603.968
94	1	1402915605.574	1402915609.124
95	4	1402915609.587	1402915646.815
96	3	1402915647.54	1402915654.698
97	4	1402915655.313	1402915667.359
98	1	1402915667.95	1402915673.936
99	2	1402915674.302	1402915691.99
100	3	1402915692.513	1402915700.673
101	4	1402915701.638	1402915708.298
102	2	1402915712.449	1402915716.73
103	1	1402915717.152	1402915735.577
104	4	1402915736.154	1402915742.532
105	3	1402915742.893	1402915808.683
106	2	1402915809.192	1402915814.059
107	1	1402915814.59	1402915829.48
108	2	1402915830.177	1402915832.366
109	2	1402915832.366	1402915835.518
110	3	1402915836.08	1402915842.226
111	4	1402915845.341	1402915866.938
112	3	1402915868.768	1402915871.72
113	2	1402915872.179	1402915900.244
114	3	1402915900.699	1402915911.963
115	4	1402915916.666	1402915930.332
116	1	1402915931.125	1402915943.715
117	4	1402915944.053	1402915948.503
118	3	1402915948.845	1402915951.817
119	3	1402915951.817	1402915955.94
120	4	1402915956.346	1402915972.644
121	1	1402915972.967	1402916003.009
122	2	1402916003.625	1402916017.794
123	4	1402916020.369	1402916022.99
124	3	1402916023.552	1402916040.987
125	4	1402916041.344	1402916078.285
126	1	1402916078.667	1402916081.292
127	2	1402916082.043	1402916101.312
128	3	1402916102.192	1402916105.914
129	2	1402916106.568	1402916225.076
130	1	1402916228.222	1402916232.035
131	4	1402916234.98	1402916243.626
132	3	1402916244.111	1402916274.674
133	2	1402916275.064	1402916279.691
134	1	1402916280.145	1402916339.317
135	4	1402916339.679	1402916343.386
136	3	1402916344.338	1402916359.853
137	2	1402916360.207	1402916483.974
138	3	1402916484.425	1402916488.543
139	4	1402916488.942	1402916497.058
140	1	1402916497.493	1402916500.8
141	2	1402916501.256	1402916504.339
142	2	1402916504.339	1402916513.635
143	1	1402916514.331	1402916518.038
144	1	1402916518.038	1402916523.04
145	4	1402916523.556	1402916535.602
146	3	1402916536.003	1402916543.516
147	2	1402916544.212	1402916546.366
148	1	1402916547.816	1402916551.67
149	4	1402916552.068	1402916559.372
150	3	1402916559.701	1402916583.847
151	4	1402916585.922	1402916589.972
152	1	1402916590.697	1402916595.712
153	2	1402916596.174	1402916621.784
154	3	1402916622.368	1402916636.964
155	4	1402916637.278	1402916651.45
156	1	1402916651.871	1402916655.497
157	4	1402916655.746	1402916680.999
158	1	1402916686.333	1402916736.205
159	2	1402916736.587	1402916742.354
160	1	1402916742.675	1402916744.998
161	4	1402916746.565	1402916753.172
162	3	1402916753.57	1402916817.874
163	4	1402916818.235	1402916839.079
164	1	1402916839.431	1402916849.704
165	3	1402916851.96	1402916856.097
166	3	1402916856.097	1402916861.56
167	3	1402916861.56	1402916869.244
168	3	1402916869.244	1402916872.072
169	2	1402916872.723	1402916876.937
170	1	1402916877.369	1402916879.622
171	1	1402916879.622	1402916882.482
172	2	1402916884.046	1402916898.373
173	2	1402916898.373	1402916946.236
174	3	1402916947.777	1402916951.274
175	4	1402916951.571	1402916978.185
176	3	1402916978.505	1402916984.455
177	2	1402916984.957	1402917018.02
178	1	1402917027.944	1402917042.221
179	1	1402917042.221	1402917048.426
180	2	1402917048.817	1402917124.712
181	1	1402917126.883	1402917133.924
182	3	1402917136.469	1402917163.716
183	4	1402917164.238	1402917179.949
184	1	1402917182.077	1402917187.528
185	2	1402917188.497	1402917192.634
186	1	1402917194.605	1402917204.842
187	4	1402917205.267	1402917213.901
188	3	1402917214.421	1402917250.808
189	1	1402917253.41	1402917258.35
190	2	1402917258.783	1402917315.017
191	3	1402917315.806	1402917328.151
192	4	1402917333.244	1402917336.486
193	4	1402917336.486	1402917340.539
194	1	1402917341.039	1402917353.245
195	2	1402917354.501	1402917357.856
196	1	1402917384.159	1402917414.21
197	1	1402917414.21	1402917434.995
198	1	1402917434.995	1402917469.936
199	4	1402917470.331	1402917472.922
200	3	1402917473.379	1402917482.903
201	4	1402917484.195	1402917497.149
202	1	1402917497.768	1402917499.792
203	2	1402917500.154	1402917508.747
204	1	1402917510.017	1402917522.031
205	2	1402917522.421	1402917527.665
206	3	1402917528.816	1402917536.613
207	4	1402917536.946	1402917540.53
208	1	1402917541.046	1402917575.553
209	4	1402917577.46	1402917586.004
210	3	1402917586.503	1402917594.362
211	2	1402917595.397	1402917600.749
212	3	1402917601.263	1402917605.55
213	4	1402917605.897	1402917611.135
214	1	1402917611.756	1402917614.387
215	2	1402917614.817	1402917626.85
216	3	1402917627.317	1402917684.556
217	2	1402917685.971	1402917696.06
218	1	1402917696.489	1402917707.583
219	3	1402917709.917	1402917718.455
220	2	1402917719.07	1402917721.146
221	2	1402917721.146	1402917727.689
222	1	1402917728.377	1402917730.869
223	1	1402917730.869	1402917832.715
224	2	1402917834.125	1402917840.611
225	2	1402917840.611	1402917855.314
226	3	1402917855.743	1402917860.88
227	4	1402917861.991	1402917864.933
228	1	1402917865.397	1402917871.819
229	4	1402917872.249	1402917874.787
230	3	1402917875.534	1402917878.332
231	2	1402917879.34	1402917884.925
232	1	1402917885.419	1402917902.498
233	2	1402917902.944	1402917935.011
234	3	1402917935.474	1402917938.258
235	4	1402917938.573	1402917972.144
236	1	1402917972.659	1402917980.348
237	2	1402917980.802	1402917993.764
238	3	1402917994.263	1402918016.404
239	2	1402918017.086	1402918113.483
240	1	1402918114.038	1402918159.25
241	3	1402918162.065	1402918172.813
242	4	1402918173.203	1402918189.803
243	1	1402918190.204	1402918192.353
244	2	1402918192.811	1402918215.271
245	1	1402918215.822	1402918270.909
246	2	1402918271.325	1402918274.648
247	2	1402918274.648	1402918282.284
248	1	1402918282.939	1402918285.367
249	2	1402918287.891	1402918290.407
250	3	1402918290.71	1402918380.122
251	3	1402918380.122	1402918389.857
252	4	1402918390.215	1402918440.294
253	3	1402918440.946	1402918505.543
254	3	1402918505.543	1402918535.451
255	1	1402918538.818	1402918554.401
256	2	1402918555.092	1402918576.778
257	3	1402918583.924	1402918604.694
258	4	1402918605.388	1402918611.146
259	4	1402918611.146	1402918620.874
260	4	1402918620.874	1402918642.485
261	1	1402918642.936	1402918645.897
262	2	1402918646.354	1402918663.734
263	2	1402918663.734	1402918672.12
264	1	1402918673.376	1402918707.932
265	2	1402918708.685	1402918721.489
266	1	1402918727.183	1402918732.433
267	4	1402918733.466	1402918737.671
268	3	1402918738.194	1402918742.612
269	3	1402918749.667	1402918813.316
270	4	1402918813.676	1402918818.276
271	4	1402918820.385	1402918824.14
272	1	1402918824.539	1402918828.775
273	2	1402918829.29	1402918863.747
274	1	1402918864.338	1402918883.616
275	4	1402918884.31	1402918890.384
276	3	1402918890.804	1402918961.756
277	4	1402918962.14	1402919051.67
278	1	1402919052.103	1402919056.478
279	2	1402919056.973	1402919079.442
280	3	1402919084.669	1402919087.298
281	4	1402919087.73	1402919091.587
282	2	1402919095.87	1402919111.915
283	3	1402919112.577	1402919132.409
284	1	1402919134.906	1402919151.391
285	2	1402919151.809	1402919190.875
286	3	1402919191.302	1402919193.725
287	4	1402919194.374	1402919274.629
288	4	1402919405.794	1402919422.396
289	1	1402919422.832	1402919450.876
290	2	1402919451.406	1402919454.612
291	3	1402919454.933	1402919532.683
292	3	1402919540.897	1402919547.028
293	2	1402919548.603	1402919553.802
294	1	1402919554.16	1402919564.161
295	2	1402919564.649	1402919568.939
296	4	1402919571.958	1402919581.91
297	3	1402919582.236	1402919708.64
298	4	1402919709.096	1402919711.819
299	1	1402919712.366	1402919715.098
300	1	1402919715.098	1402919723.102
301	4	1402919726.754	1402919729.91
302	3	1402919730.468	1402919741.522
303	2	1402919742.099	1402919763.977
304	2	1402919763.977	1402919767.299
305	1	1402919769.274	1402919775.264
306	4	1402919775.821	1402919792.146
307	3	1402919792.44	1402919849.098
308	3	1402919849.098	1402919852.213
309	2	1402919853.838	1402919876.97
