	Room	Start	End
0	1	1402913975.943	1402914008.934
1	4	1402914009.485	1402914028.938
2	1	1402914029.465	1402914042.297
3	2	1402914042.848	1402914050.392
4	3	1402914053.07	1402914055.188
5	4	1402914055.712	1402914066.207
6	3	1402914066.773	1402914075.307
7	4	1402914077.469	1402914082.337
8	1	1402914083.59	1402914085.943
9	2	1402914087.193	1402914116.062
10	3	1402914116.469	1402914134.8
11	3	1402914134.8	1402914143.53
12	2	1402914144.113	1402914157.768
13	1	1402914159.973	1402914174.368
14	2	1402914175.228	1402914179.974
15	3	1402914180.399	1402914183.154
16	4	1402914185.389	1402914190.341
17	1	1402914193.252	1402914209.663
18	4	1402914210.358	1402914273.998
19	3	1402914274.625	1402914280.33
20	3	1402914280.33	1402914297.703
21	2	1402914298.263	1402914304.251
22	1	1402914305.196	1402914323.696
23	2	1402914324.154	1402914329.106
24	1	1402914332.292	1402914336.605
25	1	1402914336.605	1402914338.672
26	4	1402914339.431	1402914348.199
27	3	1402914350.035	1402914359.159
28	4	1402914359.651	1402914372.462
29	1	1402914374.299	1402914377.231
30	2	1402914377.604	1402914396.631
31	3	1402914397.704	1402914403.551
32	4	1402914404.411	1402914407.622
33	4	1402914407.622	1402914409.741
34	1	1402914410.199	1402914417.57
35	2	1402914418.021	1402914421.359
36	2	1402914421.359	1402914442.621
37	3	1402914443.906	1402914511.622
38	4	1402914511.622	1402914524.201
39	1	1402914524.526	1402914533.924
40	2	1402914534.6	1402914537.842
41	3	1402914538.299	1402914545.516
42	3	1402914545.516	1402914550.104
43	2	1402914551.213	1402914553.834
44	1	1402914554.26	1402914574.087
45	2	1402914574.649	1402914587.909
46	4	1402914591.652	1402914614.583
47	3	1402914615.013	1402914644.768
48	4	1402914645.285	1402914659.807
49	1	1402914660.198	1402914666.731
50	2	1402914667.254	1402914669.586
51	2	1402914669.586	1402914710.464
52	1	1402914711.032	1402914728.706
53	4	1402914729.527	1402914733.51
54	3	1402914734.162	1402914736.335
55	3	1402914736.335	1402914751.035
56	2	1402914752.647	1402914758.334
57	3	1402914759.613	1402914774.177
58	4	1402914776.895	1402914815.701
59	1	1402914816.19	1402914855.008
60	2	1402914857.236	1402914871.947
61	1	1402914872.342	1402914878.611
62	4	1402914879.495	1402914884.688
63	3	1402914885.175	1402914950.501
64	4	1402914951.189	1402914957.247
65	1	1402914957.742	1402915038.781
66	2	1402915041.243	1402915063.184
67	3	1402915063.709	1402915074.028
68	4	1402915074.621	1402915095.075
69	1	1402915095.539	1402915202.928
70	4	1402915203.643	1402915205.913
71	3	1402915206.456	1402915244.689
72	2	1402915245.145	1402915252.519
73	1	1402915252.954	1402915271.246
74	2	1402915271.767	1402915297.237
75	3	1402915298.413	1402915328.609
76	4	1402915329.489	1402915370.83
77	3	1402915371.275	1402915382.03
78	4	1402915384.073	1402915386.946
79	1	1402915387.309	1402915391.37
80	2	1402915392.389	1402915406.213
81	3	1402915407.138	1402915420.51
82	2	1402915423.396	1402915426.644
83	3	1402915431.802	1402915434.886
84	3	1402915435.142	1402915442.627
85	4	1402915443.097	1402915534.354
86	1	1402915534.93	1402915541.527
87	2	1402915542.022	1402915552.038
88	1	1402915552.597	1402915572.841
89	4	1402915575.422	1402915578.042
90	3	1402915578.042	1402915581.442
91	2	1402915582.839	1402915596.417
92	3	1402915596.905	1402915626.27
93	3	1402915626.27	1402915642.171
94	4	1402915644.515	1402915666.752
95	1	1402915667.215	1402915676.253
96	2	1402915676.747	1402915681.826
97	2	1402915681.826	1402915701.383
98	3	1402915702.274	1402915705.099
99	4	1402915705.456	1402915744.715
100	1	1402915748.614	1402915751.729
101	4	1402915753.501	1402915758.874
102	3	1402915759.401	1402915774.695
103	4	1402915775.056	1402915781.086
104	1	1402915781.412	1402915789.604
105	2	1402915790.066	1402915846.63
106	1	1402915847.293	1402915851.079
107	1	1402915851.079	1402915861.703
108	2	1402915861.997	1402915888.387
109	1	1402915888.879	1402916049.116
110	2	1402916049.823	1402916052.842
111	2	1402916052.842	1402916057.032
112	3	1402916057.748	1402916062.513
113	4	1402916062.974	1402916077.326
114	1	1402916077.948	1402916222.152
115	2	1402916222.776	1402916238.415
116	1	1402916239.038	1402916241.686
117	4	1402916242.375	1402916285.047
118	3	1402916285.738	1402916306.081
119	4	1402916306.565	1402916349.215
120	1	1402916349.669	1402916363.346
121	2	1402916363.797	1402916445.316
122	3	1402916445.94	1402916448.977
123	4	1402916450.253	1402916516.641
124	1	1402916517.816	1402916524.348
125	2	1402916525.026	1402916527.422
126	2	1402916527.422	1402916579.401
127	1	1402916580.582	1402916585.217
128	4	1402916585.834	1402916589.835
129	3	1402916590.32	1402916616.126
130	4	1402916617.31	1402916680.074
131	3	1402916680.51	1402916683.486
132	2	1402916684.003	1402916689.223
133	1	1402916689.747	1402916744.535
134	4	1402916745.687	1402916750.456
135	3	1402916751.477	1402916756.908
136	2	1402916759.593	1402916784.258
137	3	1402916784.817	1402916787.592
