	Room	Start	End
0	2	1402913988.524	1402913996.124
1	1	1402913997.005	1402914057.693
2	4	1402914058.329	1402914062.322
3	1	1402914065.968	1402914103.033
4	4	1402914104.315	1402914133.186
5	4	1402914133.186	1402914138.458
6	4	1402914138.458	1402914193.585
7	4	1402914195.518	1402914203.073
8	3	1402914204.887	1402914214.843
9	4	1402914216.491	1402914252.956
10	1	1402914253.47	1402914260.256
11	2	1402914260.977	1402914300.819
12	3	1402914302.351	1402914317.259
13	4	1402914317.848	1402914330.867
14	3	1402914331.466	1402914336.218
15	2	1402914339.604	1402914343.211
16	1	1402914343.666	1402914348.082
17	1	1402914348.082	1402914350.558
18	1	1402914350.558	1402914367.998
19	2	1402914368.706	1402914386.185
20	3	1402914386.747	1402914389.654
21	3	1402914390.389	1402914397.367
22	4	1402914397.893	1402914401.76
23	4	1402914401.76	1402914492.35
24	1	1402914493.006	1402914513.204
25	2	1402914514.759	1402914517.922
26	2	1402914517.922	1402914526.182
27	3	1402914526.718	1402914531.885
28	4	1402914532.411	1402914635.449
29	4	1402914648.93	1402914652.984
30	3	1402914653.845	1402914668.547
31	4	1402914669.47	1402914676.29
32	3	1402914676.29	1402914680.906
33	2	1402914681.754	1402914700.64
34	1	1402914701.096	1402914705.811
35	4	1402914707.806	1402914758.581
36	1	1402914761.634	1402914819.764
37	2	1402914820.48	1402914825.527
38	1	1402914825.947	1402914829.659
39	4	1402914830.044	1402914837.71
40	3	1402914838.034	1402914864.966
41	2	1402914868.411	1402914875.493
42	1	1402914876.177	1402914881.631
43	1	1402914888.884	1402914942.388
44	4	1402914942.809	1402914960.873
45	1	1402914961.29	1402914973.79
46	2	1402914974.31	1402915001.706
47	1	1402915002.228	1402915028.98
48	4	1402915029.429	1402915032.498
49	3	1402915033.119	1402915051.426
50	2	1402915054.845	1402915081.961
51	1	1402915087.62	1402915248.973
52	4	1402915249.404	1402915256.774
53	3	1402915257.785	1402915267.997
54	2	1402915268.531	1402915442.938
55	3	1402915443.895	1402915453.957
56	4	1402915454.886	1402915485.78
57	3	1402915487.787	1402915503.132
58	2	1402915503.656	1402915512.884
59	1	1402915514.766	1402915545.888
60	1	1402915545.888	1402915556.018
61	4	1402915559.4	1402915626.065
62	3	1402915629.706	1402915673.81
63	4	1402915676.783	1402915734.002
64	3	1402915734.823	1402915745.677
65	2	1402915747.996	1402915760.503
66	3	1402915761.556	1402915768.718
67	4	1402915771.797	1402915792.803
68	3	1402915797.594	1402915814.21
69	2	1402915815.422	1402915819.124
70	1	1402915819.623	1402915845.588
71	4	1402915846.173	1402915901.395
72	3	1402915901.831	1402915917.409
73	2	1402915918.04	1402915951.263
74	1	1402915951.726	1402916044.723
75	2	1402916045.206	1402916060.146
76	3	1402916060.671	1402916071.982
77	2	1402916071.982	1402916075.812
78	1	1402916076.946	1402916089.775
79	2	1402916090.253	1402916098.549
80	3	1402916100.387	1402916109.78
81	2	1402916111.12	1402916126.578
82	1	1402916127.015	1402916169.536
83	4	1402916170.53	1402916249.689
84	1	1402916250.057	1402916253.08
85	2	1402916254.261	1402916265.427
86	1	1402916268.753	1402916292.652
87	4	1402916293.087	1402916295.702
88	3	1402916296.03	1402916332.551
89	2	1402916332.97	1402916347.295
90	1	1402916347.722	1402916350.421
91	1	1402916351.3	1402916380.455
92	4	1402916380.81	1402916392.612
93	1	1402916393.012	1402916397.725
94	2	1402916398.254	1402916538.732
95	1	1402916539.445	1402916546.765
96	3	1402916549.314	1402916552.431
97	2	1402916552.823	1402916555.089
98	1	1402916556.779	1402916558.967
99	1	1402916560.645	1402916563.281
100	1	1402916563.281	1402916592.934
101	4	1402916593.326	1402916600.433
102	1	1402916600.89	1402916604.882
103	2	1402916605.344	1402916638.236
104	3	1402916638.662	1402916645.913
105	4	1402916646.336	1402916695.214
106	1	1402916696.429	1402916699.48
107	1	1402916699.48	1402916775.288
108	4	1402916776.019	1402916792.979
109	3	1402916793.6	1402916814.658
110	3	1402916815.281	1402916817.821
111	2	1402916819.816	1402916830.147
112	1	1402916831.103	1402916848.266
113	4	1402916848.632	1402916910.022
114	3	1402916910.445	1402916919.95
115	2	1402916920.47	1402916954.985
116	1	1402916955.478	1402916961.876
117	4	1402916962.306	1402916972.945
118	3	1402916973.44	1402916980.558
119	2	1402916981.747	1402916984.186
120	1	1402916985.399	1402916996.592
