	Room	Start	End
0	2	1402913973.541	1402914020.394
1	3	1402914020.892	1402914042.739
2	4	1402914043.141	1402914053.601
3	1	1402914054.035	1402914094.314
4	1	1402914094.314	1402914099.377
5	2	1402914100.292	1402914118.841
6	3	1402914119.999	1402914122.332
7	3	1402914123.802	1402914135.279
8	4	1402914139.976	1402914155.374
9	4	1402914155.886	1402914187.882
10	1	1402914188.476	1402914232.668
11	4	1402914233.343	1402914282.025
12	1	1402914283.443	1402914285.69
13	2	1402914286.535	1402914303.596
14	1	1402914304.269	1402914311.928
15	4	1402914312.388	1402914390.705
16	3	1402914391.199	1402914402.035
17	2	1402914403.677	1402914413.707
18	1	1402914414.263	1402914454.996
19	4	1402914455.566	1402914460.752
20	3	1402914461.238	1402914467.34
21	3	1402914467.34	1402914471.849
22	4	1402914472.333	1402914476.091
23	1	1402914476.517	1402914489.616
24	2	1402914489.616	1402914505.319
25	3	1402914505.776	1402914509.912
26	4	1402914510.24	1402914598.761
27	1	1402914599.232	1402914621.487
28	1	1402914622.046	1402914626.216
29	4	1402914626.839	1402914652.153
30	3	1402914652.153	1402914657.31
31	2	1402914658.128	1402914756.656
32	3	1402914757.408	1402914778.858
33	4	1402914781.943	1402914784.665
34	1	1402914785.102	1402914806.477
35	4	1402914806.964	1402914843.236
36	3	1402914843.77	1402914850.494
37	2	1402914850.983	1402914875.696
38	3	1402914875.696	1402914879.629
39	4	1402914880.024	1402914889.731
40	1	1402914890.69	1402914893.559
41	1	1402914914.28	1402915029.859
42	4	1402915032.688	1402915036.282
43	1	1402915036.873	1402915194.835
44	1	1402915194.835	1402915196.959
45	1	1402915196.959	1402915200.202
46	1	1402915200.202	1402915216.109
47	4	1402915218.898	1402915239.586
48	3	1402915239.586	1402915252.981
49	2	1402915253.707	1402915277.366
50	3	1402915277.918	1402915309.944
51	4	1402915311.71	1402915335.816
52	1	1402915336.266	1402915389.389
53	2	1402915389.882	1402915453.609
54	3	1402915454.136	1402915464.296
55	4	1402915464.854	1402915471.452
56	4	1402915471.452	1402915535.057
57	1	1402915535.681	1402915543.028
58	2	1402915543.556	1402915575.536
59	1	1402915576.386	1402915582.889
60	4	1402915583.344	1402915680.154
61	1	1402915680.524	1402915682.724
62	2	1402915683.088	1402915686.91
63	1	1402915762.976	1402915769.367
64	4	1402915769.985	1402915796.109
65	3	1402915799.305	1402915807.965
66	4	1402915808.697	1402915817.215
67	1	1402915817.711	1402915833.346
68	2	1402915833.835	1402915869.367
69	3	1402915869.851	1402915884.356
