	Room	Start	End
0	2	1402913981.637	1402913996.033
1	3	1402913997.345	1402914004.071
2	3	1402914006.547	1402914010.092
3	4	1402914010.553	1402914020.698
4	1	1402914021.461	1402914038.172
5	4	1402914039.097	1402914049.019
6	3	1402914049.642	1402914062.123
7	2	1402914062.949	1402914112.436
8	3	1402914113.322	1402914119.842
9	4	1402914121.382	1402914125.126
10	1	1402914125.481	1402914130.162
11	2	1402914131.698	1402914168.792
12	3	1402914169.648	1402914176.667
13	4	1402914177.498	1402914185.901
14	1	1402914186.24	1402914199.914
15	2	1402914200.435	1402914210.899
16	1	1402914211.625	1402914255.147
17	4	1402914255.735	1402914266.954
18	3	1402914267.483	1402914281.784
19	4	1402914282.369	1402914322.96
20	1	1402914323.351	1402914340.009
21	2	1402914340.623	1402914355.288
22	1	1402914356.175	1402914372.542
23	4	1402914374.235	1402914430.72
24	3	1402914431.275	1402914451.046
25	2	1402914451.678	1402914461.214
26	1	1402914461.666	1402914503.645
27	4	1402914504.074	1402914547.491
28	3	1402914548.089	1402914571.051
29	4	1402914571.643	1402914601.012
30	1	1402914601.373	1402914617.605
31	4	1402914618.198	1402914682.841
32	1	1402914683.301	1402914688.346
33	2	1402914689.17	1402914717.377
34	3	1402914718.27	1402914725.548
35	4	1402914726.146	1402914742.305
36	1	1402914743.757	1402914747.6
37	2	1402914748.244	1402914753.037
38	2	1402914753.037	1402914759.883
39	3	1402914760.411	1402914775.49
40	4	1402914775.49	1402914802.454
41	4	1402914817.581	1402914821.867
42	1	1402914822.182	1402914853.762
43	2	1402914856.197	1402914868.928
44	1	1402914870.201	1402914879.698
45	4	1402914880.389	1402914891.095
46	3	1402914891.519	1402914908.213
47	2	1402914908.73	1402914916.723
48	1	1402914917.315	1402914935.783
49	2	1402914936.34	1402914946.717
50	3	1402914947.143	1402914951.999
51	3	1402914951.999	1402914954.73
52	3	1402914959.027	1402914965.97
53	4	1402914966.493	1402914976.031
54	1	1402914976.849	1402914984.574
55	2	1402914985.173	1402915038.655
56	1	1402915041.737	1402915050.964
57	1	1402915050.964	1402915055.264
58	4	1402915057.605	1402915061.107
59	3	1402915061.531	1402915073.773
60	2	1402915074.334	1402915135.659
61	3	1402915136.109	1402915139.16
62	2	1402915139.588	1402915169.724
63	1	1402915170.28	1402915178.651
64	2	1402915179.276	1402915182.83
65	3	1402915189.065	1402915192.069
66	3	1402915192.069	1402915216.444
67	4	1402915216.871	1402915271.838
68	3	1402915272.198	1402915278.367
69	4	1402915278.803	1402915288.617
70	1	1402915290.574	1402915298.199
71	2	1402915298.716	1402915302.134
72	2	1402915303.188	1402915399.643
73	1	1402915400.301	1402915404.148
74	4	1402915407.981	1402915412.395
75	3	1402915413.319	1402915419.295
76	2	1402915421.069	1402915447.65
77	3	1402915448.177	1402915452.072
78	4	1402915453.577	1402915456.745
79	1	1402915456.745	1402915463.628
80	2	1402915464.481	1402915476.885
81	3	1402915476.885	1402915490.95
82	4	1402915491.547	1402915500.861
83	1	1402915501.235	1402915518.105
84	2	1402915519.754	1402915557.169
85	3	1402915558.374	1402915561.471
86	4	1402915561.833	1402915638.609
87	1	1402915640.438	1402915644.529
88	4	1402915645.079	1402915669.786
89	3	1402915670.279	1402915677.79
90	4	1402915678.588	1402915680.936
91	4	1402915680.936	1402915685.856
92	1	1402915689.358	1402915720.244
93	1	1402915720.667	1402915730.205
94	2	1402915730.723	1402915739.859
95	1	1402915740.382	1402915753.598
96	4	1402915757.654	1402915822.435
97	3	1402915823.817	1402915833.819
98	4	1402915834.32	1402915838.586
99	1	1402915838.926	1402915841.259
100	1	1402915841.259	1402915853.018
101	4	1402915853.409	1402915874.043
102	1	1402915876.184	1402915881.162
103	2	1402915882.317	1402915903.546
104	1	1402915904.072	1402915909.125
105	4	1402915909.488	1402915911.938
106	3	1402915913.849	1402915954.981
107	4	1402915954.981	1402915958.524
108	1	1402915958.829	1402915961.289
109	1	1402915961.289	1402916009.204
110	4	1402916009.7	1402916031.185
111	3	1402916031.655	1402916035.08
112	2	1402916036.952	1402916055.142
113	1	1402916061.305	1402916066.285
114	4	1402916066.818	1402916070.491
115	1	1402916072.372	1402916083.289
116	2	1402916084.007	1402916134.396
117	3	1402916134.878	1402916158.569
118	2	1402916158.964	1402916172.982
119	1	1402916174.096	1402916178.787
120	4	1402916179.218	1402916202.38
121	1	1402916203.199	1402916220.458
122	1	1402916342.546	1402916344.877
123	4	1402916345.302	1402916347.411
124	3	1402916347.774	1402916354.516
125	2	1402916354.998	1402916363.422
126	3	1402916364.868	1402916373.926
127	2	1402916374.343	1402916416.05
128	1	1402916416.688	1402916425.905
129	4	1402916426.205	1402916428.624
130	3	1402916429.609	1402916442.424
131	1	1402916447.025	1402916453.225
132	1	1402916454.599	1402916491.966
133	4	1402916493.113	1402916503.59
134	3	1402916504.059	1402916552.719
135	4	1402916553.382	1402916574.797
136	1	1402916575.121	1402916577.757
137	1	1402916578.843	1402916584.368
138	2	1402916585.615	1402916642.068
139	1	1402916642.522	1402916665.483
140	4	1402916666.928	1402916675.968
141	3	1402916676.451	1402916736.796
142	2	1402916737.293	1402916792.26
143	3	1402916792.708	1402916799.21
144	4	1402916799.688	1402916807.964
145	1	1402916808.421	1402916816.74
146	2	1402916817.256	1402916820.371
147	2	1402916820.371	1402916882.371
148	3	1402916882.902	1402916901.226
149	4	1402916901.588	1402916915.294
150	3	1402916915.654	1402916923.165
151	4	1402916923.984	1402916926.513
152	1	1402916927.637	1402916934.82
153	2	1402916935.304	1402916943.627
154	1	1402916944.023	1402916948.231
155	4	1402916950.327	1402916977.401
156	1	1402916978.491	1402916994.681
157	2	1402916995.145	1402917016.778
158	3	1402917017.267	1402917021.843
159	4	1402917022.209	1402917056.672
160	1	1402917058.215	1402917063.955
161	2	1402917064.902	1402917068.337
162	2	1402917068.337	1402917170.43
163	1	1402917171.025	1402917175.574
164	4	1402917176.036	1402917178.326
165	3	1402917179.28	1402917253.077
166	4	1402917253.501	1402917256.794
167	1	1402917257.117	1402917319.744
168	4	1402917320.124	1402917332.76
169	1	1402917337.717	1402917348.357
170	2	1402917348.846	1402917408.786
171	3	1402917411.241	1402917450.911
172	4	1402917454.424	1402917461.357
173	3	1402917461.876	1402917466.419
174	2	1402917466.98	1402917472.842
175	3	1402917474.342	1402917478.847
176	3	1402917478.847	1402917481.579
177	3	1402917481.579	1402917484.821
178	4	1402917485.542	1402917498.273
179	3	1402917498.804	1402917502.415
180	3	1402917502.415	1402917538.114
181	2	1402917538.512	1402917545.295
182	2	1402917565.344	1402917580.413
183	3	1402917581.055	1402917583.26
184	3	1402917583.26	1402917585.656
185	3	1402917586.439	1402917591.662
186	3	1402917592.557	1402917601.844
187	4	1402917602.28	1402917613.83
188	1	1402917614.823	1402917624.409
189	4	1402917624.771	1402917630.971
190	3	1402917631.326	1402917645.372
191	4	1402917647.249	1402917686.551
192	1	1402917687.036	1402917690.392
193	1	1402917690.775	1402917703.326
194	2	1402917703.743	1402917709.734
195	2	1402917709.734	1402917752.152
196	3	1402917752.545	1402917771.203
197	3	1402917771.203	1402917776.026
198	4	1402917780.587	1402917793.314
199	1	1402917794.125	1402917843.275
200	2	1402917843.965	1402917916.609
201	3	1402917917.072	1402917920.777
202	3	1402917920.777	1402917957.887
203	2	1402917958.541	1402917964.642
204	3	1402917965.235	1402917976.242
205	4	1402917976.639	1402918007.78
206	1	1402918008.139	1402918033.453
207	2	1402918033.837	1402918040.553
208	3	1402918040.926	1402918070.157
209	4	1402918070.552	1402918111.107
210	1	1402918111.427	1402918141.524
211	4	1402918141.806	1402918149.697
212	1	1402918150.104	1402918152.596
213	1	1402918152.596	1402918159.882
214	4	1402918160.143	1402918162.245
215	3	1402918162.573	1402918173.628
216	4	1402918174.049	1402918228.443
217	1	1402918228.945	1402918233.875
218	2	1402918234.36	1402918393.41
219	3	1402918393.766	1402918433.353
220	2	1402918433.872	1402918437.019
221	2	1402918437.019	1402918465.317
222	1	1402918466.726	1402918481.855
223	2	1402918482.25	1402918485.604
224	2	1402918485.604	1402918488.008
225	3	1402918488.482	1402918492.253
226	3	1402918493.658	1402918514.07
227	4	1402918514.463	1402918531.796
228	1	1402918533.275	1402918568.908
229	2	1402918569.597	1402918590.125
230	1	1402918590.556	1402918594.47
231	2	1402918594.901	1402918597.625
232	3	1402918598.023	1402918606.201
233	2	1402918606.65	1402918766.894
234	1	1402918766.894	1402918801.547
235	4	1402918803.057	1402918806.348
236	1	1402918806.805	1402918811.725
237	4	1402918812.018	1402918835.017
238	3	1402918835.512	1402918847.824
239	2	1402918848.212	1402918867.014
240	3	1402918869.503	1402918880.561
241	4	1402918880.992	1402918891.018
242	1	1402918891.508	1402918895.119
243	4	1402918895.411	1402918953.488
244	1	1402918956.627	1402918965.078
245	4	1402918965.373	1402918967.684
246	1	1402918977.763	1402918981.982
247	4	1402918982.336	1402918984.409
248	3	1402918984.705	1402918988.572
249	3	1402918989.978	1402918995.235
250	3	1402918995.235	1402919022.014
251	2	1402919022.444	1402919074.2
252	3	1402919074.637	1402919127.698
253	4	1402919127.698	1402919137.33
254	3	1402919137.747	1402919512.042
255	2	1402919512.502	1402919516.869
256	1	1402919517.399	1402919545.485
257	2	1402919545.943	1402919575.617
258	3	1402919576.215	1402919650.105
259	4	1402919650.551	1402919669.379
260	1	1402919669.838	1402919676.359
261	2	1402919676.773	1402919749.073
262	1	1402919749.671	1402919753.905
263	4	1402919754.386	1402919780.853
264	1	1402919781.318	1402919792.247
265	2	1402919792.651	1402919838.642
266	1	1402919839.104	1402919845.368
267	4	1402919845.86	1402919887.991
268	3	1402919888.352	1402919903.87
269	4	1402919904.301	1402919968.422
270	3	1402919968.861	1402919978.944
271	2	1402919979.301	1402920052.446
272	3	1402920052.937	1402920056.24
273	4	1402920056.759	1402920061.359
274	3	1402920061.849	1402920111.005
275	4	1402920114.569	1402920133.366
276	1	1402920133.741	1402920152.947
277	4	1402920154.225	1402920157.963
278	1	1402920161.525	1402920170.607
279	2	1402920171.192	1402920212.109
280	3	1402920212.592	1402920214.797
281	3	1402920214.797	1402920287.663
282	4	1402920288.082	1402920291.391
283	4	1402920291.851	1402920390.62
284	1	1402920392.395	1402920410.327
285	2	1402920411.012	1402920416.994
286	3	1402920417.582	1402920775.547
287	2	1402920776.031	1402920804.05
288	3	1402920804.51	1402920811.748
289	4	1402920812.867	1402920824.864
290	3	1402920825.347	1402920933.949
291	4	1402920934.942	1402920955.155
292	1	1402920956.803	1402920985.813
293	4	1402920987.676	1402921001.317
294	1	1402921001.678	1402921010.269
295	2	1402921010.799	1402921020.319
296	1	1402921020.893	1402921025.095
297	2	1402921025.558	1402921062.369
298	3	1402921062.967	1402921066.178
299	3	1402921066.178	1402921070.906
300	2	1402921071.889	1402921144.285
301	3	1402921144.285	1402921149.49
302	4	1402921149.908	1402921171.872
303	3	1402921171.872	1402921227.859
304	2	1402921228.277	1402921231.385
305	1	1402921231.838	1402921234.199
306	4	1402921235.665	1402921251.111
307	1	1402921251.421	1402921265.82
308	2	1402921270.011	1402921279.619
309	3	1402921280.049	1402921297.003
310	4	1402921297.462	1402921312.989
311	1	1402921316.221	1402921339.612
312	2	1402921340.012	1402921342.505
313	1	1402921343.031	1402921360.492
314	4	1402921362.391	1402921378.652
315	1	1402921382.489	1402921385.827
316	1	1402921385.827	1402921389.613
317	1	1402921389.613	1402921393.786
318	2	1402921395.827	1402921404.628
319	2	1402921404.628	1402921472.46
320	3	1402921474.226	1402921477.452
321	3	1402921478.107	1402921483.524
322	3	1402921485.265	1402921517.559
323	4	1402921517.923	1402921563.561
324	3	1402921564.14	1402921583.046
325	2	1402921583.577	1402921610.574
326	3	1402921611.067	1402921619.462
327	4	1402921619.95	1402921668.492
328	1	1402921668.926	1402922036.971
329	3	1402922039.819	1402922047.469
330	2	1402922047.853	1402922051.527
331	2	1402922054.69	1402922105.422
332	1	1402922106.509	1402922137.853
333	2	1402922138.807	1402922171.478
334	3	1402922171.964	1402922199.189
335	4	1402922199.657	1402922202.644
336	4	1402922202.644	1402922205.503
337	4	1402922207.835	1402922311.831
338	1	1402922315.519	1402922326.798
339	4	1402922330.695	1402922336.236
340	3	1402922336.633	1402922340.705
341	2	1402922341.125	1402922344.431
342	2	1402922344.431	1402922480.337
343	1	1402922480.922	1402922486.988
344	3	1402922489.658	1402922493.249
345	2	1402922493.949	1402922497.094
346	1	1402922497.585	1402922711.612
347	2	1402922712.124	1402922726.677
348	1	1402922727.044	1402922730.85
349	4	1402922731.175	1402922754.505
350	3	1402922754.829	1402922774.963
351	4	1402922775.352	1402922796.744
352	1	1402922797.263	1402922804.289
353	2	1402922808.783	1402922831.486
354	3	1402922833.434	1402922837.779
355	2	1402922838.099	1402922898.207
356	1	1402922898.612	1402922989.323
357	2	1402922989.724	1402923006.485
358	3	1402923006.778	1402923014.075
359	4	1402923014.439	1402923122.727
360	1	1402923124.76	1402923146.935
361	4	1402923147.39	1402923153.655
362	3	1402923153.947	1402923283.972
363	2	1402923284.436	1402923331.877
364	1	1402923332.342	1402923337.899
365	4	1402923338.296	1402923469.514
366	3	1402923469.967	1402923501.272
367	4	1402923501.67	1402923515.354
368	1	1402923515.679	1402923518.602
369	1	1402923519.385	1402923536.862
370	2	1402923537.354	1402923548.89
371	3	1402923549.412	1402923656.3
372	2	1402923656.796	1402923694.044
373	1	1402923694.579	1402923700.426
374	2	1402923701.471	1402923734.862
375	3	1402923736.188	1402923924.246
376	4	1402923924.795	1402923960.523
377	1	1402923960.956	1402923975.788
378	2	1402923976.243	1402923993.063
379	1	1402923993.426	1402924008.459
380	1	1402924011.654	1402924014.578
381	1	1402924017.167	1402924030.329
382	1	1402924032.662	1402924034.995
383	1	1402924035.267	1402924038.973
384	1	1402924041.305	1402924044.101
385	1	1402924045.762	1402924061.962
386	1	1402924061.962	1402924070.43
387	1	1402924070.43	1402924120.258
388	2	1402924121.177	1402924128.414
389	1	1402924128.965	1402924154.254
390	2	1402924154.914	1402924179.899
391	1	1402924180.263	1402924206.54
392	4	1402924207.254	1402924250.687
393	3	1402924251.01	1402924269.387
394	3	1402924274.101	1402924339.923
395	4	1402924341.053	1402924370.049
396	1	1402924371.446	1402924403.716
397	2	1402924404.146	1402924409.598
398	3	1402924410.282	1402924415.666
399	3	1402924415.666	1402924425.129
400	4	1402924426.898	1402924486.514
401	3	1402924487.1	1402924494.965
402	2	1402924495.316	1402924508.169
403	1	1402924508.534	1402924554.628
404	1	1402924554.628	1402924556.673
405	4	1402924558.844	1402924562.152
406	3	1402924562.671	1402924578.635
407	4	1402924579.324	1402924747.436
408	3	1402924747.864	1402924758.252
409	4	1402924760.999	1402924820.744
410	1	1402924821.068	1402924863.324
411	4	1402924866.28	1402924876.807
412	1	1402924877.207	1402924906.671
413	2	1402924906.997	1402924909.458
414	2	1402924909.458	1402924969.048
415	3	1402924970.093	1402924990.73
416	4	1402924991.316	1402925021.203
417	1	1402925021.203	1402925271.065
418	2	1402925271.562	1402925293.053
419	3	1402925293.477	1402925307.471
420	4	1402925308.02	1402925383.381
421	1	1402925385.305	1402925396.872
422	4	1402925397.26	1402925402.355
423	1	1402925403.072	1402925418.361
424	1	1402925418.648	1402925432.742
425	2	1402925433.223	1402925435.523
426	2	1402925435.891	1402925470.878
427	3	1402925471.408	1402925475.647
428	4	1402925476.229	1402925504.232
429	4	1402925535.014	1402925589.78
430	1	1402925590.372	1402925622.948
431	4	1402925623.371	1402925629.582
432	3	1402925629.869	1402925693.021
433	4	1402925694.341	1402925733.805
434	1	1402925736.064	1402925753.68
435	2	1402925754.242	1402925848.569
436	1	1402925849.008	1402925856.494
437	4	1402925856.826	1402925888.355
438	1	1402925888.784	1402925910.319
439	4	1402925910.685	1402925913.029
440	3	1402925913.432	1402925916.484
441	3	1402925916.484	1402925920.591
442	4	1402925921.511	1402925970.039
443	1	1402925975.214	1402925979.628
444	2	1402925980.086	1402925982.21
445	2	1402925982.21	1402926033.795
446	3	1402926034.148	1402926038.173
447	3	1402926038.621	1402926149.904
448	4	1402926150.407	1402926175.511
449	1	1402926176.876	1402926200.106
450	4	1402926200.603	1402926204.336
451	4	1402926557.095	1402926618.495
452	1	1402926618.952	1402926622.191
453	2	1402926622.717	1402926653.721
454	1	1402926655.932	1402926658.096
455	3	1402926660.83	1402926665.4
456	4	1402926665.864	1402926718.85
457	3	1402926719.429	1402926722.44
458	2	1402926723.259	1402926742.586
459	1	1402926743.049	1402926745.965
460	4	1402926746.325	1402926762.413
461	3	1402926763.006	1402926804.458
462	4	1402926804.888	1402926914.264
463	3	1402926914.592	1402926926.113
464	4	1402926926.836	1402926995.8
465	1	1402926997.318	1402927009.88
466	2	1402927010.441	1402927031.132
467	3	1402927032.323	1402927037.446
468	4	1402927038.176	1402927089.672
469	1	1402927092.2	1402927467.484
470	4	1402927468.172	1402927471.205
471	3	1402927472.086	1402927477.54
472	2	1402927478.026	1402927512.862
473	1	1402927513.326	1402927548.436
474	4	1402927548.74	1402927568.824
475	3	1402927569.214	1402927608.301
476	4	1402927613.327	1402927637.531
477	1	1402927638.158	1402927641.736
478	1	1402927643.414	1402927645.781
479	2	1402927646.359	1402927663.085
480	1	1402927663.674	1402927666.883
481	4	1402927667.239	1402927681.745
482	3	1402927682.208	1402927687.721
483	4	1402927688.615	1402927830.532
484	1	1402927830.956	1402927852.476
485	4	1402927852.908	1402927940.673
486	3	1402927942.78	1402927947.253
487	2	1402927947.653	1402927966.547
488	1	1402927967.072	1402927976.464
489	4	1402927977.274	1402927980.257
490	3	1402927982.235	1402928002.545
491	4	1402928003.356	1402928009.043
492	4	1402928009.043	1402928041.774
493	3	1402928042.224	1402928054.926
494	2	1402928055.656	1402928060.125
495	1	1402928060.53	1402928067.621
496	4	1402928069.771	1402928103.562
497	3	1402928104.45	1402928118.369
498	4	1402928118.801	1402928120.99
499	4	1402928120.99	1402928146.757
500	3	1402928147.405	1402928152.052
501	2	1402928152.571	1402928157.328
502	1	1402928157.853	1402928501.798
503	2	1402928502.899	1402928517.099
504	1	1402928517.536	1402928522.003
505	4	1402928523.344	1402928595.685
506	1	1402928596.115	1402928600.611
507	2	1402928601.235	1402928611.187
508	1	1402928611.617	1402928627.641
509	2	1402928628.041	1402928647.199
510	3	1402928647.702	1402928650.067
511	3	1402928650.067	1402928670.178
512	4	1402928670.665	1402928672.71
513	4	1402928672.71	1402928704.691
514	3	1402928705.111	1402928708.882
515	3	1402928708.882	1402928714.843
516	4	1402928716.671	1402928721.868
517	1	1402928722.76	1402928858.967
518	4	1402928861.295	1402928995.79
519	3	1402928995.79	1402929036.456
520	2	1402929037.307	1402929073.149
521	1	1402929077.218	1402929115.254
522	3	1402929119.619	1402929213.543
523	2	1402929214.126	1402929346.568
524	1	1402929347.19	1402929359.59
525	4	1402929360.937	1402929395.754
526	3	1402929396.182	1402929488.883
527	4	1402929489.572	1402929492.591
528	4	1402929492.591	1402929523.377
529	1	1402929523.94	1402929541.177
530	4	1402929541.492	1402929548.676
531	3	1402929549.095	1402929554.46
532	2	1402929554.89	1402929571.691
533	1	1402929572.212	1402929591.654
534	2	1402929592.298	1402929620.828
535	1	1402929621.322	1402929657.212
536	4	1402929657.468	1402929724.137
537	1	1402929724.633	1402929783.732
538	2	1402929784.149	1402929834.917
539	1	1402929835.38	1402929840.382
540	4	1402929841.425	1402929843.578
541	3	1402929844.166	1402929860.625
542	3	1402929860.625	1402929865.834
543	3	1402929867.448	1402931797.522
544	3	1402931797.522	1402931804.215
545	3	1402931805.956	1402931811.776
546	4	1402931812.451	1402931818.565
547	1	1402931819.158	1402931846.967
548	2	1402931847.955	1402931906.827
549	3	1402931907.414	1402931911.459
550	4	1402931913.105	1402931922.133
551	1	1402931922.538	1402931965.179
552	4	1402931965.514	1402932036.41
553	3	1402932037.032	1402932087.29
554	2	1402932087.783	1402932091.322
555	1	1402932091.751	1402932096.039
556	4	1402932096.411	1402932105.93
557	3	1402932111.627	1402932191.447
558	4	1402932191.744	1402932213.389
559	3	1402932213.851	1402932228.141
560	2	1402932234.028	1402932260.848
561	3	1402932261.593	1402932282.006
562	4	1402932284.33	1402932448.156
563	1	1402932450.519	1402932625.822
564	4	1402932626.221	1402932628.367
565	3	1402932628.696	1402932633.266
566	2	1402932633.687	1402932644.894
567	1	1402932645.297	1402932727.03
568	2	1402932727.576	1402932735.826
569	3	1402932737.229	1402932740.637
570	4	1402932741.354	1402932821.687
571	3	1402932823.001	1402932904.723
572	4	1402932905.217	1402933133.045
573	1	1402933133.467	1402933153.715
574	2	1402933154.135	1402933166.548
575	1	1402933167.407	1402933183.152
576	4	1402933183.519	1402933187.018
577	3	1402933187.35	1402933200.726
578	2	1402933201.092	1402933221.612
579	1	1402933225.19	1402933236.195
580	4	1402933236.578	1402933325.084
581	3	1402933328.885	1402933336.589
582	4	1402933336.986	1402933353.58
583	1	1402933353.807	1402933356.394
584	1	1402933356.857	1402933411.673
585	4	1402933411.895	1402933448.326
586	3	1402933448.849	1402933547.865
587	4	1402933548.82	1402933555.385
588	1	1402933558.526	1402933594.469
589	4	1402933594.704	1402933598.341
590	3	1402933598.634	1402933686.781
591	4	1402933687.333	1402933748.553
592	1	1402933748.911	1402933763.017
593	2	1402933763.378	1402933959.679
594	3	1402933960.174	1402933964.183
595	2	1402933964.615	1402933967.402
596	1	1402933967.795	1402933974.718
597	4	1402933975.541	1402934049.23
598	3	1402934049.533	1402934066.983
599	4	1402934067.664	1402934072.952
600	4	1402934072.952	1402934113.21
601	1	1402934113.807	1402934116.172
602	1	1402934117.322	1402934154.682
603	2	1402934155.082	1402934164.699
604	1	1402934165.019	1402934359.985
605	4	1402934360.448	1402934381.974
606	3	1402934382.306	1402934431.029
607	4	1402934431.319	1402934456.877
608	1	1402934457.261	1402934469.626
609	4	1402934470.932	1402934633.634
610	3	1402934634.091	1402934636.87
611	2	1402934637.403	1402934726.252
612	3	1402934732.607	1402934736.586
613	3	1402934736.586	1402934789.945
614	4	1402934790.373	1402934929.455
615	1	1402934932.236	1402934936.341
616	1	1402934936.341	1402934978.285
617	2	1402934980.01	1402935044.922
618	3	1402935045.476	1402935112.439
619	4	1402935112.861	1402935115.871
620	1	1402935117.367	1402935138.298
621	2	1402935138.715	1402935161.407
622	3	1402935161.932	1402935189.353
623	4	1402935189.906	1402935220.156
624	1	1402935227.811	1402935232.108
625	4	1402935234.533	1402935238.446
626	4	1402935239.196	1402935242.046
627	3	1402935243.27	1402935253.385
628	4	1402935255.192	1402935281.809
629	1	1402935282.306	1402935546.384
630	2	1402935546.779	1402935552.33
631	3	1402935552.761	1402935555.941
632	3	1402935555.941	1402935606.13
633	4	1402935606.659	1402935622.009
634	1	1402935625.779	1402935629.197
635	1	1402935629.197	1402935654.997
636	4	1402935655.552	1402935660.348
637	3	1402935661.008	1402935668.309
638	2	1402935668.56	1402935671.419
639	2	1402935671.419	1402935941.921
640	1	1402935942.616	1402935950.204
641	4	1402935952.036	1402935954.722
642	3	1402935955.186	1402935960.492
643	3	1402935960.492	1402936007.09
644	3	1402936010.27	1402936012.379
645	2	1402936015.058	1402936038.789
646	1	1402936039.125	1402936135.077
647	2	1402936135.48	1402936295.583
648	3	1402936297.833	1402936319.149
649	4	1402936319.512	1402936340.774
650	1	1402936341.27	1402936344.034
651	1	1402936346.063	1402936354.679
652	2	1402936355.493	1402936358.976
653	2	1402936358.976	1402936361.788
654	1	1402936362.22	1402936370.511
655	1	1402936371.214	1402936431.502
656	4	1402936431.93	1402936435.661
657	3	1402936436.03	1402936487.742
658	4	1402936488.105	1402936505.068
659	1	1402936508.777	1402936577.908
660	2	1402936578.398	1402936685.123
661	1	1402936687.119	1402936689.294
662	3	1402936691.456	1402936695.784
663	3	1402936695.784	1402936698.228
664	2	1402936698.726	1402936741.751
665	1	1402936743.513	1402936827.761
666	4	1402936828.574	1402936832.031
667	4	1402936885.066	1402936902.786
668	1	1402936903.152	1402936973.528
669	4	1402936975.716	1402936979.123
670	3	1402936979.899	1402936986.055
671	2	1402936986.055	1402937017.947
672	1	1402937020.503	1402937055.443
673	2	1402937055.837	1402937137.674
674	1	1402937138.037	1402937252.886
675	4	1402937253.243	1402937265.54
676	1	1402937265.922	1402937277.217
677	1	1402937277.217	1402937311.259
678	4	1402937311.559	1402937316.405
679	3	1402937317.32	1402937355.936
680	2	1402937356.358	1402937428.19
681	1	1402937428.669	1402937465.044
682	2	1402937467.162	1402937503.664
683	1	1402937505.525	1402937551.446
684	4	1402937552.986	1402937580.653
685	3	1402937581.107	1402937654.633
686	4	1402937658.464	1402937663.592
687	4	1402937663.975	1402937802.719
688	4	1402937832.349	1402937834.565
689	3	1402937834.904	1402937842.416
690	2	1402937842.839	1402937856.567
691	4	1402937859.181	1402937914.659
692	3	1402937917.89	1402937922.658
693	2	1402937923.062	1402937927.295
694	2	1402937927.295	1402937956.695
695	1	1402937959.032	1402937995.872
696	4	1402937996.196	1402938007.646
697	3	1402938007.938	1402938011.581
698	3	1402938011.581	1402938177.663
699	4	1402938177.994	1402938281.849
700	1	1402938284.963	1402938419.101
701	4	1402938423.86	1402938739.929
702	1	1402938742.136	1402938850.39
703	2	1402938851.576	1402938935.371
704	3	1402938938.261	1402939007.256
705	4	1402939007.256	1402939065.276
706	1	1402939066.166	1402939080.736
707	4	1402939083.054	1402939110.64
708	1	1402939110.931	1402939161.104
709	2	1402939161.558	1402939179.555
710	3	1402939180.344	1402939206.543
711	2	1402939207.318	1402939213.315
712	1	1402939213.682	1402939226.694
713	4	1402939227.157	1402939249.347
714	3	1402939249.858	1402939254.443
715	4	1402939254.443	1402939265.715
716	1	1402939270.42	1402939379.126
717	2	1402939379.88	1402939389.848
718	1	1402939390.501	1402939414.351
719	4	1402939414.643	1402939434.875
720	3	1402939434.875	1402939447.58
721	4	1402939448.772	1402939451.088
722	4	1402939451.088	1402939471.987
723	2	1402939476.493	1402939479.736
724	2	1402939479.736	1402939491.089
725	3	1402939491.423	1402939513.372
726	2	1402939513.628	1402939517.1
727	1	1402939517.443	1402939522.156
728	1	1402939527.716	1402939532.668
729	1	1402939536.902	1402939541.183
730	1	1402939544.395	1402939550.146
731	1	1402939551.759	1402939562.735
732	1	1402939566.761	1402939570.483
733	1	1402939570.706	1402939625.104
734	2	1402939630.95	1402939634.512
735	2	1402939634.512	1402939639.745
736	3	1402939640.068	1402939643.881
737	4	1402939644.217	1402939647.269
738	4	1402939647.269	1402939654.935
739	1	1402939655.224	1402939664.213
740	2	1402939666.748	1402939675.756
741	1	1402939676.083	1402939680.859
742	1	1402939681.387	1402939685.302
743	1	1402939687.107	1402939690.813
744	1	1402939692.251	1402939695.85
745	4	1402939697.168	1402939699.612
746	1	1402939700.963	1402939762.097
747	2	1402939769.622	1402939819.759
748	3	1402939821.786	1402939833.175
749	2	1402939833.433	1402939839.009
750	2	1402939839.009	1402939943.64
751	3	1402939944.919	1402939949.312
752	2	1402939950.158	1402939964.6
753	2	1402939964.6	1402939975.046
754	2	1402939975.573	1402939978.72
755	2	1402939979.44	1402939986.692
756	2	1402939987.426	1402939990.477
757	2	1402939990.477	1402939993.161
758	2	1402939993.161	1402939998.002
759	2	1402939998.002	1402940002.586
760	2	1402940002.586	1402940128.081
761	3	1402940128.802	1402940132.444
762	4	1402940133.064	1402940164.438
763	3	1402940165.81	1402940195.293
764	2	1402940196.642	1402940205.785
765	1	1402940206.177	1402940306.413
766	4	1402940312.513	1402940315.037
