	Phase	Room	Time	Mouse One	Mouse Two
369	PHASE 1 dark	4	901.5370006561279	0065-0136653169	0065-0136661759
370	PHASE 1 light	4	850.085000038147	0065-0136653169	0065-0136661759
371	PHASE 2 dark	4	517.3839998245239	0065-0136653169	0065-0136661759
372	PHASE 2 light	4	2.1439998149871826	0065-0136653169	0065-0136661759
373	PHASE 1 dark	1	9884.427000284195	0065-0136653169	0065-0136665886
374	PHASE 1 light	1	26211.1669986248	0065-0136653169	0065-0136665886
375	PHASE 2 dark	1	17189.751999616623	0065-0136653169	0065-0136665886
376	PHASE 2 light	1	18.65400004386902	0065-0136653169	0065-0136665886
377	PHASE 3 dark	1	4591.832000494003	0065-0136653169	0065-0136665886
378	PHASE 3 light	1	6745.148999929428	0065-0136653169	0065-0136665886
379	PHASE 1 dark	2	832.2990000247955	0065-0136653169	0065-0136665886
380	PHASE 1 light	2	109.6639997959137	0065-0136653169	0065-0136665886
381	PHASE 2 dark	2	1378.1169996261597	0065-0136653169	0065-0136665886
382	PHASE 2 light	2	33998.975999355316	0065-0136653169	0065-0136665886
383	PHASE 3 dark	2	6178.210000276566	0065-0136653169	0065-0136665886
384	PHASE 3 light	2	23393.139999628067	0065-0136653169	0065-0136665886
385	PHASE 1 dark	3	12714.63200044632	0065-0136653169	0065-0136665886
386	PHASE 1 light	3	109.96600008010864	0065-0136653169	0065-0136665886
387	PHASE 2 dark	3	908.2670011520386	0065-0136653169	0065-0136665886
388	PHASE 2 light	3	68.45499992370605	0065-0136653169	0065-0136665886
389	PHASE 3 dark	3	285.3960003852844	0065-0136653169	0065-0136665886
390	PHASE 3 light	3	44.42400002479553	0065-0136653169	0065-0136665886
391	PHASE 1 dark	4	691.5289986133575	0065-0136653169	0065-0136665886
392	PHASE 1 light	4	1588.74799990654	0065-0136653169	0065-0136665886
393	PHASE 2 dark	4	1198.3469984531403	0065-0136653169	0065-0136665886
394	PHASE 2 light	4	58.1010000705719	0065-0136653169	0065-0136665886
395	PHASE 3 dark	4	744.2069997787476	0065-0136653169	0065-0136665886
396	PHASE 3 light	4	34.50499963760376	0065-0136653169	0065-0136665886
397	PHASE 1 dark	1	10906.110001564026	0065-0136653169	0065-0136667521
398	PHASE 1 light	1	29265.92699956894	0065-0136653169	0065-0136667521
399	PHASE 2 dark	1	21558.24200153351	0065-0136653169	0065-0136667521
400	PHASE 3 dark	1	14456.411000728607	0065-0136653169	0065-0136667521
401	PHASE 3 light	1	10720.778000354767	0065-0136653169	0065-0136667521
402	PHASE 1 dark	2	856.3960003852844	0065-0136653169	0065-0136667521
403	PHASE 1 light	2	164.07800006866455	0065-0136653169	0065-0136667521
404	PHASE 2 dark	2	1125.3349997997284	0065-0136653169	0065-0136667521
405	PHASE 2 light	2	37000.98200058937	0065-0136653169	0065-0136667521
406	PHASE 3 dark	2	2116.4849996566772	0065-0136653169	0065-0136667521
407	PHASE 3 light	2	19489.845000743866	0065-0136653169	0065-0136667521
408	PHASE 1 dark	3	10714.525998830795	0065-0136653169	0065-0136667521
409	PHASE 1 light	3	64.59799981117249	0065-0136653169	0065-0136667521
410	PHASE 2 dark	3	196.69600009918213	0065-0136653169	0065-0136667521
411	PHASE 3 dark	3	536.077000617981	0065-0136653169	0065-0136667521
412	PHASE 3 light	3	6.031000137329102	0065-0136653169	0065-0136667521
413	PHASE 1 dark	4	1288.9309995174408	0065-0136653169	0065-0136667521
414	PHASE 1 light	4	761.8899993896484	0065-0136653169	0065-0136667521
415	PHASE 2 dark	4	2053.5090005397797	0065-0136653169	0065-0136667521
416	PHASE 2 light	4	152.1049997806549	0065-0136653169	0065-0136667521
417	PHASE 3 dark	4	3372.469999551773	0065-0136653169	0065-0136667521
418	PHASE 3 light	4	182.3910002708435	0065-0136653169	0065-0136667521
419	PHASE 1 dark	1	3798.098000049591	0065-0136653169	0065-0136670531
420	PHASE 1 light	1	30480.652999401093	0065-0136653169	0065-0136670531
421	PHASE 2 dark	1	24175.941000699997	0065-0136653169	0065-0136670531
422	PHASE 2 light	1	32.35800004005432	0065-0136653169	0065-0136670531
423	PHASE 3 dark	1	11123.885999679565	0065-0136653169	0065-0136670531
424	PHASE 3 light	1	9234.543000459671	0065-0136653169	0065-0136670531
425	PHASE 1 dark	2	605.4920001029968	0065-0136653169	0065-0136670531
426	PHASE 1 light	2	32.58099961280823	0065-0136653169	0065-0136670531
427	PHASE 2 dark	2	971.7739996910095	0065-0136653169	0065-0136670531
428	PHASE 2 light	2	37162.14600110054	0065-0136653169	0065-0136670531
429	PHASE 3 dark	2	6296.459999322891	0065-0136653169	0065-0136670531
430	PHASE 3 light	2	20112.032999753952	0065-0136653169	0065-0136670531
431	PHASE 1 dark	3	14687.758998394012	0065-0136653169	0065-0136670531
432	PHASE 1 light	3	12.67199993133545	0065-0136653169	0065-0136670531
433	PHASE 2 dark	3	164.40100026130676	0065-0136653169	0065-0136670531
434	PHASE 2 light	3	45.80500030517578	0065-0136653169	0065-0136670531
435	PHASE 3 dark	3	82.0609998703003	0065-0136653169	0065-0136670531
436	PHASE 1 dark	4	271.16499972343445	0065-0136653169	0065-0136670531
437	PHASE 1 light	4	1034.3740005493164	0065-0136653169	0065-0136670531
438	PHASE 2 dark	4	1231.0059995651245	0065-0136653169	0065-0136670531
439	PHASE 2 light	4	12.139999866485596	0065-0136653169	0065-0136670531
440	PHASE 3 dark	4	720.9520001411438	0065-0136653169	0065-0136670531
441	PHASE 1 dark	1	9695.586000442505	0065-0136653169	0065-0136671473
442	PHASE 1 light	1	26859.320999860764	0065-0136653169	0065-0136671473
443	PHASE 2 dark	1	17160.983999967575	0065-0136653169	0065-0136671473
444	PHASE 2 light	1	30.491000175476074	0065-0136653169	0065-0136671473
445	PHASE 3 dark	1	13662.185998916626	0065-0136653169	0065-0136671473
446	PHASE 3 light	1	12162.018000364304	0065-0136653169	0065-0136671473
447	PHASE 1 dark	2	962.3159997463226	0065-0136653169	0065-0136671473
448	PHASE 1 light	2	23.88100004196167	0065-0136653169	0065-0136671473
449	PHASE 2 dark	2	1338.438999414444	0065-0136653169	0065-0136671473
450	PHASE 2 light	2	35731.22600054741	0065-0136653169	0065-0136671473
451	PHASE 3 dark	2	3439.0749990940094	0065-0136653169	0065-0136671473
452	PHASE 3 light	2	19792.094000339508	0065-0136653169	0065-0136671473
453	PHASE 1 dark	3	5111.115000009537	0065-0136653169	0065-0136671473
454	PHASE 1 light	3	72.23299980163574	0065-0136653169	0065-0136671473
455	PHASE 2 dark	3	473.34699988365173	0065-0136653169	0065-0136671473
456	PHASE 2 light	3	81.75999999046326	0065-0136653169	0065-0136671473
457	PHASE 3 dark	3	738.2279999256134	0065-0136653169	0065-0136671473
458	PHASE 3 light	3	5.985000133514404	0065-0136653169	0065-0136671473
459	PHASE 1 dark	4	875.7179996967316	0065-0136653169	0065-0136671473
460	PHASE 1 light	4	1661.1459996700287	0065-0136653169	0065-0136671473
461	PHASE 2 dark	4	1673.3370010852814	0065-0136653169	0065-0136671473
462	PHASE 2 light	4	307.4350001811981	0065-0136653169	0065-0136671473
463	PHASE 3 dark	4	2830.6250007152557	0065-0136653169	0065-0136671473
464	PHASE 3 light	4	75.39999985694885	0065-0136653169	0065-0136671473
465	PHASE 1 dark	1	10256.792999505997	0065-0136653169	0065-0136673193
466	PHASE 1 light	1	30779.804000377655	0065-0136653169	0065-0136673193
467	PHASE 2 dark	1	25629.531999588013	0065-0136653169	0065-0136673193
468	PHASE 2 light	1	76.92000031471252	0065-0136653169	0065-0136673193
469	PHASE 3 dark	1	8447.939999818802	0065-0136653169	0065-0136673193
470	PHASE 3 light	1	9316.458999872208	0065-0136653169	0065-0136673193
471	PHASE 1 dark	2	398.68000078201294	0065-0136653169	0065-0136673193
472	PHASE 2 dark	2	1141.0170001983643	0065-0136653169	0065-0136673193
473	PHASE 2 light	2	36596.025000333786	0065-0136653169	0065-0136673193
474	PHASE 3 dark	2	5405.086998939514	0065-0136653169	0065-0136673193
475	PHASE 3 light	2	21408.112000226974	0065-0136653169	0065-0136673193
476	PHASE 1 dark	3	15348.090999364853	0065-0136653169	0065-0136673193
477	PHASE 1 light	3	5.36899995803833	0065-0136653169	0065-0136673193
478	PHASE 2 dark	3	73.47299981117249	0065-0136653169	0065-0136673193
479	PHASE 2 light	3	26.912999868392944	0065-0136653169	0065-0136673193
480	PHASE 3 dark	3	270.5510001182556	0065-0136653169	0065-0136673193
481	PHASE 1 dark	4	869.5689985752106	0065-0136653169	0065-0136673193
482	PHASE 1 light	4	687.1490001678467	0065-0136653169	0065-0136673193
483	PHASE 2 dark	4	1206.125	0065-0136653169	0065-0136673193
484	PHASE 2 light	4	109.3439998626709	0065-0136653169	0065-0136673193
485	PHASE 3 dark	4	1867.5100002288818	0065-0136653169	0065-0136673193
486	PHASE 1 dark	1	13744.96799993515	0065-0136655780	0065-0136659288
487	PHASE 1 light	1	34643.664999485016	0065-0136655780	0065-0136659288
488	PHASE 2 dark	1	12434.767000198364	0065-0136655780	0065-0136659288
489	PHASE 3 dark	1	7003.142999887466	0065-0136655780	0065-0136659288
490	PHASE 3 light	1	7134.399999856949	0065-0136655780	0065-0136659288
491	PHASE 1 dark	2	1615.3280010223389	0065-0136655780	0065-0136659288
492	PHASE 1 light	2	67.43700003623962	0065-0136655780	0065-0136659288
493	PHASE 2 dark	2	2371.4699997901917	0065-0136655780	0065-0136659288
494	PHASE 2 light	2	39282.169999837875	0065-0136655780	0065-0136659288
495	PHASE 3 dark	2	14425.145001649857	0065-0136655780	0065-0136659288
496	PHASE 3 light	2	24590.753999233246	0065-0136655780	0065-0136659288
497	PHASE 1 dark	3	1493.3830003738403	0065-0136655780	0065-0136659288
498	PHASE 1 light	3	37.57900023460388	0065-0136655780	0065-0136659288
499	PHASE 2 dark	3	835.2639999389648	0065-0136655780	0065-0136659288
500	PHASE 2 light	3	37.44199991226196	0065-0136655780	0065-0136659288
501	PHASE 3 dark	3	567.8680000305176	0065-0136655780	0065-0136659288
502	PHASE 3 light	3	10.443000078201294	0065-0136655780	0065-0136659288
503	PHASE 1 dark	4	1208.777001619339	0065-0136655780	0065-0136659288
504	PHASE 1 light	4	874.6549999713898	0065-0136655780	0065-0136659288
505	PHASE 2 dark	4	1767.0840010643005	0065-0136655780	0065-0136659288
506	PHASE 3 dark	4	437.5220000743866	0065-0136655780	0065-0136659288
507	PHASE 1 dark	1	10189.76399898529	0065-0136655780	0065-0136659459
508	PHASE 1 light	1	25193.457000494003	0065-0136655780	0065-0136659459
509	PHASE 2 dark	1	15672.77299952507	0065-0136655780	0065-0136659459
510	PHASE 2 light	1	12.427000045776367	0065-0136655780	0065-0136659459
511	PHASE 3 dark	1	7374.205000400543	0065-0136655780	0065-0136659459
512	PHASE 3 light	1	7021.285999774933	0065-0136655780	0065-0136659459
513	PHASE 1 dark	2	1097.8260009288788	0065-0136655780	0065-0136659459
514	PHASE 1 light	2	105.8289999961853	0065-0136655780	0065-0136659459
515	PHASE 2 dark	2	2394.0240001678467	0065-0136655780	0065-0136659459
516	PHASE 2 light	2	37733.282001018524	0065-0136655780	0065-0136659459
517	PHASE 3 dark	2	7255.565999984741	0065-0136655780	0065-0136659459
518	PHASE 3 light	2	24515.40100002289	0065-0136655780	0065-0136659459
519	PHASE 1 dark	3	2504.542000055313	0065-0136655780	0065-0136659459
520	PHASE 2 dark	3	604.3199996948242	0065-0136655780	0065-0136659459
521	PHASE 2 light	3	26.356000185012817	0065-0136655780	0065-0136659459
522	PHASE 3 dark	3	456.15300011634827	0065-0136655780	0065-0136659459
523	PHASE 3 light	3	198.7940001487732	0065-0136655780	0065-0136659459
524	PHASE 1 dark	4	1103.5609998703003	0065-0136655780	0065-0136659459
525	PHASE 1 light	4	1120.659999847412	0065-0136655780	0065-0136659459
526	PHASE 2 dark	4	1895.8949999809265	0065-0136655780	0065-0136659459
527	PHASE 3 dark	4	470.1449999809265	0065-0136655780	0065-0136659459
528	PHASE 1 dark	1	10758.99199962616	0065-0136655780	0065-0136660676
529	PHASE 1 light	1	33679.063000917435	0065-0136655780	0065-0136660676
530	PHASE 2 dark	1	14874.916999101639	0065-0136655780	0065-0136660676
531	PHASE 3 dark	1	7994.7849996089935	0065-0136655780	0065-0136660676
532	PHASE 3 light	1	5549.77999997139	0065-0136655780	0065-0136660676
533	PHASE 1 dark	2	877.2369997501373	0065-0136655780	0065-0136660676
534	PHASE 1 light	2	5.937000036239624	0065-0136655780	0065-0136660676
535	PHASE 2 dark	2	1253.6890003681183	0065-0136655780	0065-0136660676
536	PHASE 2 light	2	37592.476999759674	0065-0136655780	0065-0136660676
537	PHASE 3 dark	2	7081.213001251221	0065-0136655780	0065-0136660676
538	PHASE 3 light	2	28880.407000780106	0065-0136655780	0065-0136660676
539	PHASE 1 dark	3	4124.759999752045	0065-0136655780	0065-0136660676
540	PHASE 1 light	3	27.25599980354309	0065-0136655780	0065-0136660676
541	PHASE 2 dark	3	1068.6069991588593	0065-0136655780	0065-0136660676
542	PHASE 2 light	3	9.504999876022339	0065-0136655780	0065-0136660676
543	PHASE 3 dark	3	1009.7909989356995	0065-0136655780	0065-0136660676
544	PHASE 3 light	3	274.9619998931885	0065-0136655780	0065-0136660676
545	PHASE 1 dark	4	1159.2079997062683	0065-0136655780	0065-0136660676
546	PHASE 1 light	4	541.4599995613098	0065-0136655780	0065-0136660676
547	PHASE 2 dark	4	1596.6119995117188	0065-0136655780	0065-0136660676
548	PHASE 3 dark	4	196.03900027275085	0065-0136655780	0065-0136660676
549	PHASE 3 light	4	78.32500004768372	0065-0136655780	0065-0136660676
550	PHASE 1 dark	1	10592.574999570847	0065-0136655780	0065-0136661759
551	PHASE 1 light	1	34249.8569996357	0065-0136655780	0065-0136661759
552	PHASE 2 dark	1	26149.691999673843	0065-0136655780	0065-0136661759
553	PHASE 2 light	1	23.09500002861023	0065-0136655780	0065-0136661759
554	PHASE 3 dark	1	7242.386000156403	0065-0136655780	0065-0136661759
555	PHASE 3 light	1	6499.8739993572235	0065-0136655780	0065-0136661759
556	PHASE 1 dark	2	637.8229994773865	0065-0136655780	0065-0136661759
557	PHASE 1 light	2	40.437000036239624	0065-0136655780	0065-0136661759
558	PHASE 2 dark	2	683.6939995288849	0065-0136655780	0065-0136661759
559	PHASE 2 light	2	39599.807000637054	0065-0136655780	0065-0136661759
560	PHASE 3 dark	2	27700.35600090027	0065-0136655780	0065-0136661759
561	PHASE 3 light	2	29435.64299917221	0065-0136655780	0065-0136661759
562	PHASE 1 dark	3	5035.477001190186	0065-0136655780	0065-0136661759
563	PHASE 1 light	3	14.253000020980835	0065-0136655780	0065-0136661759
564	PHASE 2 dark	3	27.12999987602234	0065-0136655780	0065-0136661759
565	PHASE 2 light	3	2.124000072479248	0065-0136655780	0065-0136661759
566	PHASE 3 dark	3	429.30099964141846	0065-0136655780	0065-0136661759
567	PHASE 1 dark	4	806.2559995651245	0065-0136655780	0065-0136661759
568	PHASE 1 light	4	1243.920000076294	0065-0136655780	0065-0136661759
569	PHASE 2 dark	4	744.8209998607635	0065-0136655780	0065-0136661759
570	PHASE 1 dark	1	10715.552999973297	0065-0136655780	0065-0136665886
571	PHASE 1 light	1	30043.275999307632	0065-0136655780	0065-0136665886
572	PHASE 2 dark	1	16035.38299703598	0065-0136655780	0065-0136665886
573	PHASE 2 light	1	105.71299982070923	0065-0136655780	0065-0136665886
574	PHASE 3 dark	1	4529.531000614166	0065-0136655780	0065-0136665886
575	PHASE 3 light	1	5379.555999755859	0065-0136655780	0065-0136665886
576	PHASE 1 dark	2	1061.941998720169	0065-0136655780	0065-0136665886
577	PHASE 1 light	2	75.51200008392334	0065-0136655780	0065-0136665886
578	PHASE 2 dark	2	2346.386000394821	0065-0136655780	0065-0136665886
579	PHASE 2 light	2	36485.21599936485	0065-0136655780	0065-0136665886
580	PHASE 3 dark	2	26192.67799973488	0065-0136655780	0065-0136665886
581	PHASE 3 light	2	31445.337000370026	0065-0136655780	0065-0136665886
582	PHASE 1 dark	3	4337.549000501633	0065-0136655780	0065-0136665886
583	PHASE 1 light	3	59.79599976539612	0065-0136655780	0065-0136665886
584	PHASE 2 dark	3	209.99599957466125	0065-0136655780	0065-0136665886
585	PHASE 2 light	3	41.242999792099	0065-0136655780	0065-0136665886
586	PHASE 3 dark	3	204.46600008010864	0065-0136655780	0065-0136665886
587	PHASE 3 light	3	22.652000188827515	0065-0136655780	0065-0136665886
588	PHASE 1 dark	4	1080.1449983119965	0065-0136655780	0065-0136665886
589	PHASE 1 light	4	1985.87299990654	0065-0136655780	0065-0136665886
590	PHASE 2 dark	4	1387.7410011291504	0065-0136655780	0065-0136665886
591	PHASE 3 dark	4	172.18499970436096	0065-0136655780	0065-0136665886
592	PHASE 1 dark	1	13217.343997478485	0065-0136655780	0065-0136667521
593	PHASE 1 light	1	32270.6819999218	0065-0136655780	0065-0136667521
594	PHASE 2 dark	1	19571.410999298096	0065-0136655780	0065-0136667521
595	PHASE 2 light	1	24.130000114440918	0065-0136655780	0065-0136667521
596	PHASE 3 dark	1	8192.87099981308	0065-0136655780	0065-0136667521
597	PHASE 3 light	1	6657.685000181198	0065-0136655780	0065-0136667521
598	PHASE 1 dark	2	1174.856999874115	0065-0136655780	0065-0136667521
599	PHASE 1 light	2	12.805000066757202	0065-0136655780	0065-0136667521
600	PHASE 2 dark	2	1182.4680004119873	0065-0136655780	0065-0136667521
601	PHASE 2 light	2	39388.6300008297	0065-0136655780	0065-0136667521
602	PHASE 3 dark	2	11258.243000268936	0065-0136655780	0065-0136667521
603	PHASE 3 light	2	25314.082000732422	0065-0136655780	0065-0136667521
604	PHASE 1 dark	3	3784.6059999465942	0065-0136655780	0065-0136667521
605	PHASE 1 light	3	27.44599986076355	0065-0136655780	0065-0136667521
606	PHASE 2 dark	3	419.55599999427795	0065-0136655780	0065-0136667521
607	PHASE 2 light	3	42.12700009346008	0065-0136655780	0065-0136667521
608	PHASE 3 dark	3	170.36300015449524	0065-0136655780	0065-0136667521
609	PHASE 3 light	3	172.41100001335144	0065-0136655780	0065-0136667521
610	PHASE 1 dark	4	1469.6550006866455	0065-0136655780	0065-0136667521
611	PHASE 1 light	4	1003.9460003376007	0065-0136655780	0065-0136667521
612	PHASE 2 dark	4	1749.8029997348785	0065-0136655780	0065-0136667521
613	PHASE 3 dark	4	691.7120003700256	0065-0136655780	0065-0136667521
614	PHASE 1 dark	1	3927.4129996299744	0065-0136655780	0065-0136670531
615	PHASE 1 light	1	34503.34199976921	0065-0136655780	0065-0136670531
616	PHASE 2 dark	1	21660.291998386383	0065-0136655780	0065-0136670531
617	PHASE 2 light	1	5.324000120162964	0065-0136655780	0065-0136670531
618	PHASE 3 dark	1	7461.013000249863	0065-0136655780	0065-0136670531
619	PHASE 3 light	1	6715.970999956131	0065-0136655780	0065-0136670531
620	PHASE 1 dark	2	999.3269999027252	0065-0136655780	0065-0136670531
621	PHASE 1 light	2	107.66199994087219	0065-0136655780	0065-0136670531
622	PHASE 2 dark	2	984.0659999847412	0065-0136655780	0065-0136670531
623	PHASE 2 light	2	39434.77500128746	0065-0136655780	0065-0136670531
624	PHASE 3 dark	2	23634.26100063324	0065-0136655780	0065-0136670531
625	PHASE 3 light	2	26384.22200012207	0065-0136655780	0065-0136670531
626	PHASE 1 dark	3	4871.15000128746	0065-0136655780	0065-0136670531
627	PHASE 1 light	3	15.123999834060669	0065-0136655780	0065-0136670531
628	PHASE 2 dark	3	23.669999837875366	0065-0136655780	0065-0136670531
629	PHASE 2 light	3	33.01699995994568	0065-0136655780	0065-0136670531
630	PHASE 3 dark	3	17.112000226974487	0065-0136655780	0065-0136670531
631	PHASE 1 dark	4	429.2880001068115	0065-0136655780	0065-0136670531
632	PHASE 1 light	4	1659.3139998912811	0065-0136655780	0065-0136670531
633	PHASE 2 dark	4	899.6360003948212	0065-0136655780	0065-0136670531
634	PHASE 3 dark	4	424.77300000190735	0065-0136655780	0065-0136670531
635	PHASE 1 dark	1	11360.451999664307	0065-0136655780	0065-0136671473
636	PHASE 1 light	1	30832.666000127792	0065-0136655780	0065-0136671473
637	PHASE 2 dark	1	15399.15599822998	0065-0136655780	0065-0136671473
638	PHASE 2 light	1	12.605000019073486	0065-0136655780	0065-0136671473
639	PHASE 3 dark	1	7565.809999465942	0065-0136655780	0065-0136671473
640	PHASE 3 light	1	7178.773999929428	0065-0136655780	0065-0136671473
641	PHASE 1 dark	2	1944.9719996452332	0065-0136655780	0065-0136671473
642	PHASE 1 light	2	94.04699993133545	0065-0136655780	0065-0136671473
643	PHASE 2 dark	2	2402.751999616623	0065-0136655780	0065-0136671473
644	PHASE 2 light	2	37958.95200061798	0065-0136655780	0065-0136671473
645	PHASE 3 dark	2	12675.464998960495	0065-0136655780	0065-0136671473
646	PHASE 3 light	2	25264.620000362396	0065-0136655780	0065-0136671473
647	PHASE 1 dark	3	1664.0579998493195	0065-0136655780	0065-0136671473
648	PHASE 1 light	3	71.67300009727478	0065-0136655780	0065-0136671473
649	PHASE 2 dark	3	407.32299971580505	0065-0136655780	0065-0136671473
650	PHASE 2 light	3	36.33200025558472	0065-0136655780	0065-0136671473
651	PHASE 3 dark	3	321.98599886894226	0065-0136655780	0065-0136671473
652	PHASE 3 light	3	171.79800009727478	0065-0136655780	0065-0136671473
653	PHASE 1 dark	4	845.9649994373322	0065-0136655780	0065-0136671473
654	PHASE 1 light	4	1140.979999780655	0065-0136655780	0065-0136671473
655	PHASE 2 dark	4	1696.0730004310608	0065-0136655780	0065-0136671473
656	PHASE 3 dark	4	558.683000087738	0065-0136655780	0065-0136671473
657	PHASE 3 light	4	34.14300012588501	0065-0136655780	0065-0136671473
658	PHASE 1 dark	1	10165.45399928093	0065-0136655780	0065-0136673193
659	PHASE 1 light	1	35362.13000035286	0065-0136655780	0065-0136673193
660	PHASE 2 dark	1	24134.686998605728	0065-0136655780	0065-0136673193
661	PHASE 2 light	1	19.35700011253357	0065-0136655780	0065-0136673193
662	PHASE 3 dark	1	7327.817000389099	0065-0136655780	0065-0136673193
663	PHASE 3 light	1	6100.02499961853	0065-0136655780	0065-0136673193
664	PHASE 1 dark	2	542.5450007915497	0065-0136655780	0065-0136673193
665	PHASE 2 dark	2	1317.4470002651215	0065-0136655780	0065-0136673193
666	PHASE 2 light	2	38986.56299996376	0065-0136655780	0065-0136673193
667	PHASE 3 dark	2	24350.781001091003	0065-0136655780	0065-0136673193
668	PHASE 3 light	2	28331.41900038719	0065-0136655780	0065-0136673193
669	PHASE 1 dark	3	5218.592000246048	0065-0136655780	0065-0136673193
670	PHASE 1 light	3	49.788999795913696	0065-0136655780	0065-0136673193
671	PHASE 2 dark	3	80.32099962234497	0065-0136655780	0065-0136673193
672	PHASE 2 light	3	10.744999885559082	0065-0136655780	0065-0136673193
673	PHASE 3 dark	3	205.4709997177124	0065-0136655780	0065-0136673193
674	PHASE 1 dark	4	637.8579998016357	0065-0136655780	0065-0136673193
675	PHASE 1 light	4	1541.2480001449585	0065-0136655780	0065-0136673193
676	PHASE 2 dark	4	1367.4630000591278	0065-0136655780	0065-0136673193
677	PHASE 2 light	4	9.734999895095825	0065-0136655780	0065-0136673193
678	PHASE 3 dark	4	287.4630000591278	0065-0136655780	0065-0136673193
679	PHASE 1 dark	1	10219.605000257492	0065-0136659288	0065-0136659459
680	PHASE 1 light	1	24350.575999975204	0065-0136659288	0065-0136659459
681	PHASE 2 dark	1	10805.010000944138	0065-0136659288	0065-0136659459
682	PHASE 2 light	1	16.5	0065-0136659288	0065-0136659459
683	PHASE 3 dark	1	9830.812001228333	0065-0136659288	0065-0136659459
684	PHASE 3 light	1	11185.736000061035	0065-0136659288	0065-0136659459
685	PHASE 1 dark	2	1156.741000175476	0065-0136659288	0065-0136659459
686	PHASE 1 light	2	74.44600009918213	0065-0136659288	0065-0136659459
687	PHASE 2 dark	2	3154.74599981308	0065-0136659288	0065-0136659459
688	PHASE 2 light	2	37128.361999988556	0065-0136659288	0065-0136659459
689	PHASE 3 dark	2	3954.2129998207092	0065-0136659288	0065-0136659459
690	PHASE 3 light	2	21099.222999572754	0065-0136659288	0065-0136659459
691	PHASE 1 dark	3	2595.9590005874634	0065-0136659288	0065-0136659459
692	PHASE 1 light	3	0.9930000305175781	0065-0136659288	0065-0136659459
693	PHASE 2 dark	3	1013.0120000839233	0065-0136659288	0065-0136659459
694	PHASE 2 light	3	44.080000162124634	0065-0136659288	0065-0136659459
695	PHASE 3 dark	3	723.3339998722076	0065-0136659288	0065-0136659459
696	PHASE 3 light	3	43.111000061035156	0065-0136659288	0065-0136659459
697	PHASE 1 dark	4	1635.415001630783	0065-0136659288	0065-0136659459
698	PHASE 1 light	4	342.5940001010895	0065-0136659288	0065-0136659459
699	PHASE 2 dark	4	2524.3430025577545	0065-0136659288	0065-0136659459
700	PHASE 2 light	4	129.97000002861023	0065-0136659288	0065-0136659459
701	PHASE 3 dark	4	2530.7720005512238	0065-0136659288	0065-0136659459
702	PHASE 3 light	4	160.1399998664856	0065-0136659288	0065-0136659459
703	PHASE 1 dark	1	10281.62700009346	0065-0136659288	0065-0136660676
704	PHASE 1 light	1	35131.476999759674	0065-0136659288	0065-0136660676
705	PHASE 2 dark	1	10059.018000364304	0065-0136659288	0065-0136660676
706	PHASE 3 dark	1	9537.30699968338	0065-0136659288	0065-0136660676
707	PHASE 3 light	1	6660.50900053978	0065-0136659288	0065-0136660676
708	PHASE 1 dark	2	1001.4680008888245	0065-0136659288	0065-0136660676
709	PHASE 1 light	2	46.64400005340576	0065-0136659288	0065-0136660676
710	PHASE 2 dark	2	1474.0109996795654	0065-0136659288	0065-0136660676
711	PHASE 2 light	2	37571.56399965286	0065-0136659288	0065-0136660676
712	PHASE 3 dark	2	3911.941000699997	0065-0136659288	0065-0136660676
713	PHASE 3 light	2	21556.95899939537	0065-0136659288	0065-0136660676
714	PHASE 1 dark	3	3332.420000553131	0065-0136659288	0065-0136660676
715	PHASE 1 light	3	141.6800000667572	0065-0136659288	0065-0136660676
716	PHASE 2 dark	3	1638.351000070572	0065-0136659288	0065-0136660676
717	PHASE 2 light	3	41.6010000705719	0065-0136659288	0065-0136660676
718	PHASE 3 dark	3	1254.5580005645752	0065-0136659288	0065-0136660676
719	PHASE 3 light	3	72.52099990844727	0065-0136659288	0065-0136660676
720	PHASE 1 dark	4	1248.5109992027283	0065-0136659288	0065-0136660676
721	PHASE 1 light	4	987.1920003890991	0065-0136659288	0065-0136660676
722	PHASE 2 dark	4	1748.6630008220673	0065-0136659288	0065-0136660676
723	PHASE 2 light	4	1115.579999923706	0065-0136659288	0065-0136660676
724	PHASE 3 dark	4	1427.9210004806519	0065-0136659288	0065-0136660676
725	PHASE 3 light	4	90.0479998588562	0065-0136659288	0065-0136660676
726	PHASE 1 dark	1	10948.781999826431	0065-0136659288	0065-0136661759
727	PHASE 1 light	1	34024.85799765587	0065-0136659288	0065-0136661759
728	PHASE 2 dark	1	16712.00900053978	0065-0136659288	0065-0136661759
729	PHASE 3 dark	1	7044.551999568939	0065-0136659288	0065-0136661759
730	PHASE 3 light	1	9352.720999717712	0065-0136659288	0065-0136661759
731	PHASE 1 dark	2	1055.0120005607605	0065-0136659288	0065-0136661759
732	PHASE 2 dark	2	926.7259995937347	0065-0136659288	0065-0136661759
733	PHASE 2 light	2	38367.60700035095	0065-0136659288	0065-0136661759
734	PHASE 3 dark	2	15725.034000635147	0065-0136659288	0065-0136661759
735	PHASE 3 light	2	24459.602998256683	0065-0136659288	0065-0136661759
736	PHASE 1 dark	3	5621.058000802994	0065-0136659288	0065-0136661759
737	PHASE 2 dark	3	42.41000008583069	0065-0136659288	0065-0136661759
738	PHASE 2 light	3	15.565000057220459	0065-0136659288	0065-0136661759
739	PHASE 3 dark	3	349.9230000972748	0065-0136659288	0065-0136661759
