	Phase	Room	Time	Mouse One	Mouse Two
73	PHASE 2 dark	1	13101.358000516891	0065-0136651817	0065-0136659459
74	PHASE 2 light	1	50.28399968147278	0065-0136651817	0065-0136659459
75	PHASE 3 dark	1	13489.245999336243	0065-0136651817	0065-0136659459
76	PHASE 3 light	1	8269.179000139236	0065-0136651817	0065-0136659459
77	PHASE 1 dark	2	1549.3120012283325	0065-0136651817	0065-0136659459
78	PHASE 1 light	2	134.24700045585632	0065-0136651817	0065-0136659459
79	PHASE 2 dark	2	2804.92799949646	0065-0136651817	0065-0136659459
80	PHASE 2 light	2	31490.756000757217	0065-0136651817	0065-0136659459
81	PHASE 3 dark	2	4055.835000038147	0065-0136651817	0065-0136659459
82	PHASE 3 light	2	18749.999999523163	0065-0136651817	0065-0136659459
83	PHASE 1 dark	3	6108.7779994010925	0065-0136651817	0065-0136659459
84	PHASE 1 light	3	48.30499982833862	0065-0136651817	0065-0136659459
85	PHASE 2 dark	3	329.4769997596741	0065-0136651817	0065-0136659459
86	PHASE 2 light	3	44.18900012969971	0065-0136651817	0065-0136659459
87	PHASE 3 dark	3	1267.6819996833801	0065-0136651817	0065-0136659459
88	PHASE 1 dark	4	1132.1410007476807	0065-0136651817	0065-0136659459
89	PHASE 1 light	4	1024.1729996204376	0065-0136651817	0065-0136659459
90	PHASE 2 dark	4	1675.5609991550446	0065-0136651817	0065-0136659459
91	PHASE 2 light	4	271.07699966430664	0065-0136651817	0065-0136659459
92	PHASE 3 dark	4	2032.5620005130768	0065-0136651817	0065-0136659459
93	PHASE 3 light	4	122.34999990463257	0065-0136651817	0065-0136659459
94	PHASE 1 dark	1	7943.432000875473	0065-0136651817	0065-0136660676
95	PHASE 1 light	1	27471.36600112915	0065-0136651817	0065-0136660676
96	PHASE 2 dark	1	11728.073999404907	0065-0136651817	0065-0136660676
97	PHASE 2 light	1	250.8639998435974	0065-0136651817	0065-0136660676
98	PHASE 3 dark	1	14006.206999778748	0065-0136651817	0065-0136660676
99	PHASE 3 light	1	5517.162000417709	0065-0136651817	0065-0136660676
100	PHASE 1 dark	2	951.3640007972717	0065-0136651817	0065-0136660676
101	PHASE 1 light	2	103.17599987983704	0065-0136651817	0065-0136660676
102	PHASE 2 dark	2	1323.9190001487732	0065-0136651817	0065-0136660676
103	PHASE 2 light	2	32621.807000875473	0065-0136651817	0065-0136660676
104	PHASE 3 dark	2	4093.8700008392334	0065-0136651817	0065-0136660676
105	PHASE 3 light	2	22260.639000177383	0065-0136651817	0065-0136660676
106	PHASE 1 dark	3	7590.179000377655	0065-0136651817	0065-0136660676
107	PHASE 1 light	3	24.294999599456787	0065-0136651817	0065-0136660676
108	PHASE 2 dark	3	882.9009993076324	0065-0136651817	0065-0136660676
109	PHASE 2 light	3	76.8899998664856	0065-0136651817	0065-0136660676
110	PHASE 3 dark	3	1838.1859984397888	0065-0136651817	0065-0136660676
111	PHASE 3 light	3	302.4139997959137	0065-0136651817	0065-0136660676
112	PHASE 1 dark	4	785.2730007171631	0065-0136651817	0065-0136660676
113	PHASE 1 light	4	374.46299958229065	0065-0136651817	0065-0136660676
114	PHASE 2 dark	4	1286.8099999427795	0065-0136651817	0065-0136660676
115	PHASE 2 light	4	1474.532999753952	0065-0136651817	0065-0136660676
116	PHASE 3 dark	4	1505.8700006008148	0065-0136651817	0065-0136660676
117	PHASE 3 light	4	97.05399966239929	0065-0136651817	0065-0136660676
118	PHASE 1 dark	1	7216.456000804901	0065-0136651817	0065-0136661759
119	PHASE 1 light	1	27398.147000074387	0065-0136651817	0065-0136661759
120	PHASE 2 dark	1	20934.066999912262	0065-0136651817	0065-0136661759
121	PHASE 2 light	1	9.815000057220459	0065-0136651817	0065-0136661759
122	PHASE 3 dark	1	6297.663999557495	0065-0136651817	0065-0136661759
123	PHASE 3 light	1	6187.873999834061	0065-0136651817	0065-0136661759
124	PHASE 1 dark	2	550.548999786377	0065-0136651817	0065-0136661759
125	PHASE 1 light	2	6.493999719619751	0065-0136651817	0065-0136661759
126	PHASE 2 dark	2	624.7909996509552	0065-0136651817	0065-0136661759
127	PHASE 2 light	2	32244.73500108719	0065-0136651817	0065-0136661759
128	PHASE 3 dark	2	11742.377000570297	0065-0136651817	0065-0136661759
129	PHASE 3 light	2	22134.25800037384	0065-0136651817	0065-0136661759
130	PHASE 1 dark	3	9663.343997716904	0065-0136651817	0065-0136661759
131	PHASE 1 light	3	12.382999658584595	0065-0136651817	0065-0136661759
132	PHASE 2 dark	3	17.283000230789185	0065-0136651817	0065-0136661759
133	PHASE 2 light	3	2.8430001735687256	0065-0136651817	0065-0136661759
134	PHASE 3 dark	3	193.46599984169006	0065-0136651817	0065-0136661759
135	PHASE 1 dark	4	441.7320005893707	0065-0136651817	0065-0136661759
136	PHASE 1 light	4	554.5309998989105	0065-0136651817	0065-0136661759
137	PHASE 2 dark	4	459.3839998245239	0065-0136651817	0065-0136661759
138	PHASE 2 light	4	3.0989999771118164	0065-0136651817	0065-0136661759
139	PHASE 3 dark	4	4.18500018119812	0065-0136651817	0065-0136661759
140	PHASE 1 dark	1	7592.919999599457	0065-0136651817	0065-0136665886
141	PHASE 1 light	1	24628.340999364853	0065-0136651817	0065-0136665886
142	PHASE 2 dark	1	12320.945000171661	0065-0136651817	0065-0136665886
143	PHASE 2 light	1	57.78700065612793	0065-0136651817	0065-0136665886
144	PHASE 3 dark	1	4360.484000444412	0065-0136651817	0065-0136665886
145	PHASE 3 light	1	5905.4369995594025	0065-0136651817	0065-0136665886
146	PHASE 1 dark	2	1215.4000000953674	0065-0136651817	0065-0136665886
147	PHASE 1 light	2	61.81899976730347	0065-0136651817	0065-0136665886
148	PHASE 2 dark	2	2355.9439992904663	0065-0136651817	0065-0136665886
149	PHASE 2 light	2	29926.605000972748	0065-0136651817	0065-0136665886
150	PHASE 3 dark	2	11907.898000478745	0065-0136651817	0065-0136665886
151	PHASE 3 light	2	23910.082000255585	0065-0136651817	0065-0136665886
152	PHASE 1 dark	3	9176.101999282837	0065-0136651817	0065-0136665886
153	PHASE 1 light	3	130.88399934768677	0065-0136651817	0065-0136665886
154	PHASE 2 dark	3	499.4729993343353	0065-0136651817	0065-0136665886
155	PHASE 2 light	3	24.825000047683716	0065-0136651817	0065-0136665886
156	PHASE 3 dark	3	243.42799997329712	0065-0136651817	0065-0136665886
157	PHASE 3 light	3	33.180999755859375	0065-0136651817	0065-0136665886
158	PHASE 1 dark	4	529.0389997959137	0065-0136651817	0065-0136665886
159	PHASE 1 light	4	1599.6490004062653	0065-0136651817	0065-0136665886
160	PHASE 2 dark	4	1367.068000793457	0065-0136651817	0065-0136665886
161	PHASE 2 light	4	61.7880003452301	0065-0136651817	0065-0136665886
162	PHASE 3 dark	4	410.20899987220764	0065-0136651817	0065-0136665886
163	PHASE 3 light	4	52.507999420166016	0065-0136651817	0065-0136665886
164	PHASE 1 dark	1	8791.778998613358	0065-0136651817	0065-0136667521
165	PHASE 1 light	1	27027.086000204086	0065-0136651817	0065-0136667521
